bound_deg,ecephys_session_id,training_half,test_half,translation_azimuth_deg,translation_elevation_deg,identity_heldout_correlation,aligned_heldout_correlation,heldout_correlation_gain,identity_heldout_rmse,aligned_heldout_rmse
30,762602078,0,1,7.99614,21.3348,-0.63371,-0.779283,-0.145573,0.388868,0.411862
30,763673393,0,1,2.07047,-26.6667,-0.695034,0.37546,1.07049,0.185414,0.105196
30,773418906,0,1,-29.3434,1.33331,0.691565,0.497937,-0.193628,0.0988558,0.140301
30,791319847,0,1,9.33387,5.33173,0.311635,0.222972,-0.0886631,0.202729,0.273892
30,797828357,0,1,19.9659,-20,-0.10215,0.457528,0.559678,0.38589,0.48124
30,798911424,0,1,-20.0483,11.9988,0.0188298,-0.299611,-0.318441,0.158697,0.186142
30,799864342,0,1,-18.6683,-1.3947,0.210039,0.461282,0.251243,0.18743,0.132161
30,715093703,1,0,2.83908,1.34251,0.295192,0.143257,-0.151935,0.409932,0.382629
30,719161530,1,0,-12.0276,5.50663,-0.635783,0.539697,1.17548,0.141089,0.0974292
30,721123822,1,0,-7.99989,-9.33487,-0.444161,-0.251599,0.192562,0.128713,0.127782
30,732592105,1,0,-29.8987,27.9912,-0.324626,,,0.109802,
30,737581020,1,0,-18.6663,15.6632,-0.509031,-0.23687,0.272161,0.0704424,0.0578272
30,739448407,1,0,3.58555,13.3333,-0.0444437,0.324302,0.368746,0.244712,0.26145
30,742951821,1,0,20,6.56072,0.135496,,,0.367237,
30,744228101,1,0,-8.11646,22.9628,-0.112143,0.722137,0.83428,0.374976,0.620724
30,746083955,1,0,17.3336,5.31403,0.0424819,-0.153189,-0.19567,0.407225,0.392305
30,750332458,1,0,-0.0381638,-5.33346,0.180451,0.252033,0.0715819,0.240306,0.24171
30,750749662,1,0,14.46,22.6667,-0.115186,0.622806,0.737992,0.159007,0.306851
30,751348571,1,0,-5.34272,2.66687,-0.339586,0.0828269,0.422413,0.177712,0.172589
30,754312389,1,0,25.3388,0.000437301,0.16894,-0.0297693,-0.19871,0.27645,0.257817
30,754829445,1,0,3.9992,1.33616,-0.0528574,-0.00181651,0.0510409,0.169422,0.173128
30,755434585,1,0,26.6727,1.42069,-0.544536,0.30006,0.844595,0.326946,0.61151
30,756029989,1,0,21.3318,-13.3347,-0.179631,0.0459927,0.225623,0.177853,0.0744946
30,757216464,1,0,-4.00525,-5.33596,-0.469626,-0.713305,-0.243679,0.283131,0.250316
30,757970808,1,0,-20.0001,-0.355447,-0.0685906,0.284114,0.352704,0.197208,0.231694
30,758798717,1,0,17.3262,-2.66684,0.263493,-0.368673,-0.632166,0.0778687,0.0799406
30,759883607,1,0,13.317,-1.33345,-0.375737,-0.220289,0.155448,0.102838,0.102994
30,760345702,1,0,3.99995,3.83505,-0.0731625,0.0335384,0.106701,0.136488,0.122278
30,760693773,1,0,-4.06029,-15.4422,-0.488647,-0.635624,-0.146978,0.325609,0.305724
30,761418226,1,0,-12.4699,17.3334,0.309629,,,0.208988,
30,762120172,1,0,-2.66223,2.67421,-0.132611,-0.0386805,0.0939302,0.183018,0.184021
30,762602078,1,0,-21.3282,15.999,0.29709,,,0.481626,
30,763673393,1,0,8.00001,-25.3362,0.0386968,0.643877,0.60518,0.137432,0.138611
30,773418906,1,0,6.51438,-2.66668,-0.10389,-0.34926,-0.24537,0.174122,0.1859
30,791319847,1,0,-1.33389,16.0038,0.30457,0.334504,0.0299337,0.229306,0.238177
30,797828357,1,0,-1.33426,-22.6733,-0.182098,-0.607147,-0.42505,0.187665,0.143388
30,798911424,1,0,24.0094,-5.33339,-0.315132,-0.322186,-0.00705366,0.249758,0.275285
30,799864342,1,0,-27.9989,-4.00159,-0.369457,0.215575,0.585032,0.185454,0.21973
