stimulus_presentation_id,stimulus_block,start_time,stop_time,color,size,Speed,stimulus_name,x_position,y_position,frame,temporal_frequency,Dir,phase,contrast,spatial_frequency,orientation,coherence,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2414,0.0,672.23433,672.48454,null,"[20.0, 20.0]",null,gabors,10.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020992,15,,,0,,False,11,test,0
2415,0.0,672.48454,672.73475,null,"[20.0, 20.0]",null,gabors,0.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,141,,,0,,False,9,train,2
2416,0.0,672.73475,672.98496,null,"[20.0, 20.0]",null,gabors,20.0,-10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,229,,,0,,False,8,test,2
2417,0.0,672.98496,673.23517,null,"[20.0, 20.0]",null,gabors,0.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021008,237,,,0,,False,7,train,2
2418,0.0,673.23517,673.48538,null,"[20.0, 20.0]",null,gabors,-10.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25021008,138,,,0,,False,10,train,0
2419,0.0,673.48538,673.73559,null,"[20.0, 20.0]",null,gabors,20.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021008,205,,,0,,False,10,train,1
2420,0.0,673.73559,673.9858,null,"[20.0, 20.0]",null,gabors,20.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021008,145,,,0,,False,9,train,2
2421,0.0,673.9858,674.23601,null,"[20.0, 20.0]",null,gabors,-10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,26,,,0,,False,9,train,2
2422,0.0,674.23601,674.48622,null,"[20.0, 20.0]",null,gabors,-10.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,84,,,0,,False,11,test,2
2423,0.0,674.48622,674.73643,null,"[20.0, 20.0]",null,gabors,40.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020992,234,,,0,,False,7,train,1
2424,0.0,674.73643,674.98664,null,"[20.0, 20.0]",null,gabors,-40.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,167,,,0,,False,10,train,2
2425,0.0,674.98664,675.23684,null,"[20.0, 20.0]",null,gabors,20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020758,222,,,0,,False,10,train,1
2426,0.0,675.23684,675.48705,null,"[20.0, 20.0]",null,gabors,30.0,-30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020758,86,,,0,,False,7,train,2
2427,0.0,675.48705,675.73726,null,"[20.0, 20.0]",null,gabors,-40.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020758,68,,,0,,False,7,train,1
2428,0.0,675.73726,675.98747,null,"[20.0, 20.0]",null,gabors,-20.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020758,199,,,0,,False,11,test,1
2429,0.0,675.98747,676.23767,null,"[20.0, 20.0]",null,gabors,-40.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,0.0,null,0.25020742,184,,,0,,False,10,train,0
2430,0.0,676.23767,676.48788,null,"[20.0, 20.0]",null,gabors,30.0,40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020742,58,,,0,,False,9,train,2
2431,0.0,676.48788,676.73809,null,"[20.0, 20.0]",null,gabors,10.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25020742,125,,,0,,False,12,train,1
2432,0.0,676.73809,676.9883,null,"[20.0, 20.0]",null,gabors,-40.0,20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020742,56,,,0,,False,6,train,2
2433,0.0,676.9883,677.23851,null,"[20.0, 20.0]",null,gabors,40.0,30.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25021258,19,,,0,,False,7,train,2
2434,0.0,677.23851,677.48872,null,"[20.0, 20.0]",null,gabors,10.0,-20.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021258,59,,,0,,False,9,train,1
2435,0.0,677.48872,677.73893,null,"[20.0, 20.0]",null,gabors,20.0,0.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021258,89,,,0,,False,10,train,1
2436,0.0,677.73893,677.98915,null,"[20.0, 20.0]",null,gabors,40.0,10.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,45.0,null,0.25021258,104,,,0,,False,9,train,1
2437,0.0,677.98915,678.23936,null,"[20.0, 20.0]",null,gabors,10.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,34,,,0,,False,11,test,2
2438,0.0,678.23936,678.48957,null,"[20.0, 20.0]",null,gabors,-40.0,-40.0,null,4.0,null,"[3644.93333333, 3644.93333333]",0.8,0.08,90.0,null,0.25020992,80,,,0,,False,9,train,2
