ecephys_unit_id,group,ecephys_structure_acronym,unit_split,candidate,gain_x,gain_y,control,shuffle,success,optimizer_status,center_bound,sigma_upper_bound,censored,baseline_spikes,mean_amplitude_spikes,peak_spikes,center_x_deg,center_y_deg,sigma_x_deg,sigma_y_deg,major_sigma_deg,halfmax_area_deg2,train_poisson_deviance,test_poisson_deviance,train_anscombe_rmse,test_anscombe_rmse,nominal_test_poisson_deviance,nominal_test_anscombe_rmse,nominal_halfmax_area_deg2,nominal_mean_amplitude_spikes,test_deviance_improvement,test_anscombe_rmse_improvement,log2_area_ratio,log2_amplitude_ratio,fit_scope
951871184,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.66376517,2.8224513,3.72413,-58.741909,-20.719726,37.861648,12.949834,37.861648,2135.3499,1.5610048,1.4919286,0.9934266,0.97159104,1.4911026,0.97157029,2126.8562,2.8080768,-0.00082608632,-2.0750291e-05,0.0057499865,0.007366293,gain_sweep_qc
951871210,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.23528254,2.3797606,2.8868473,-34.608788,-9.8706237,13.446394,10.869974,13.446394,636.56044,1.4479798,1.2710984,0.83201249,0.77816798,1.2710984,0.77816798,636.56044,2.3797606,0,0,0,0,gain_sweep_qc
951871210,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.23642196,2.4063102,2.9031371,-34.523393,-10.065735,13.3097,10.767418,13.3097,624.14458,1.4468808,1.2699606,0.83144582,0.77774246,1.2710984,0.77816798,636.56044,2.3797606,0.0011377241,0.0004255228,-0.028417246,0.016006187,gain_sweep_qc
951871352,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.14888255,1.7468643,2.618112,-39.099112,-10.328326,3.8212771,11.042696,11.042696,183.77608,1.6511904,1.406619,0.80008803,0.74186133,1.406619,0.74186133,183.77608,1.7468643,0,0,0,0,gain_sweep_qc
951871352,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.1487303,1.9658159,2.9715529,-38.184673,-10.201504,3.3894284,11.046792,11.046792,163.0677,1.6498122,1.4044796,0.79963292,0.7415066,1.406619,0.74186133,183.77608,1.7468643,0.0021394028,0.00035473303,-0.17247794,0.17036053,gain_sweep_qc
951871381,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.581694,0.91422144,1.8718195,-39.449759,-5.199942,14.536255,15.820974,15.820974,1001.5926,1.827022,1.7905391,1.0146259,1.0051997,1.7905391,1.0051997,1001.5926,0.91422144,0,0,0,0,gain_sweep_qc
951871381,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,0.58165698,0.91810383,1.8751932,-39.41298,-5.2434937,14.528514,15.781866,15.781866,998.58462,1.8267543,1.7898915,1.0145825,1.0050407,1.7905391,1.0051997,1001.5926,0.91422144,0.00064758989,0.00015898552,-0.0043391818,0.0061136537,gain_sweep_qc
951871433,HVA,VISrl,evaluation,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,1.3551679,1.1172925,3.7802224,0.97660136,-10.734981,12.598933,9.4667839,12.598933,519.44738,2.5643962,2.8766316,1.346413,1.4220573,2.8766316,1.4220573,519.44738,1.1172925,0,0,0,0,gain_sweep_qc
951871433,HVA,VISrl,evaluation,gain_x_0_gain_y_0.5,0,0.5,False,False,True,2,False,False,False,1.3559702,1.1227455,3.787924,0.76515784,-11.185849,12.291763,9.5960239,12.291763,513.70148,2.5651838,2.8747341,1.3465862,1.4215862,2.8766316,1.4220573,519.44738,1.1172925,0.0018975067,0.00047114687,-0.016047391,0.0070240423,gain_sweep_qc
951871461,HVA,VISrl,calibration,gain_x_0_gain_y_0,0,0,False,False,True,2,False,False,False,0.012058887,0.26764698,0.81499984,-9.983239,16.106838,2.1100765,2.6782109,2.6782109,24.612079,0.16905506,0.21805302,0.1728875,0.19022187,0.21805302,0.19022187,24.612079,0.26764698,0,0,0,0,gain_sweep_qc
