stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
477,0.0,203.9017,204.15192,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,46,,,0,,False,2,test,0
478,0.0,204.15192,204.40214,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25022052,181,,,0,,False,1,train,0
479,0.0,204.40214,204.65236,null,4.0,"[3644.93333333, 3644.93333333]",null,0.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022052,220,,,0,,False,0,train,1
480,0.0,204.65236,204.90259,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022052,15,,,0,,False,3,train,0
481,0.0,204.90259,205.15278,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25019948,12,,,0,,False,2,test,0
482,0.0,205.15278,205.40298,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,90.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25019948,105,,,0,,False,1,train,2
483,0.0,205.40298,205.65318,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019948,11,,,0,,False,2,test,0
484,0.0,205.65318,205.90338,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,45.0,gabors,10.0,"[20.0, 20.0]",0.08,0.8,0.25019948,118,,,0,,False,1,train,1
485,0.0,205.90338,206.15361,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25022302,181,,,0,,False,2,test,0
486,0.0,206.15361,206.40383,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25022302,16,,,0,,False,2,test,0
487,0.0,206.40383,206.65405,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25022302,12,,,0,,False,3,train,0
488,0.0,206.65405,206.90428,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,45.0,gabors,-20.0,"[20.0, 20.0]",0.08,0.8,0.25022302,21,,,0,,False,3,train,1
489,0.0,206.90428,207.15447,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,45.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25019198,148,,,0,,False,2,test,1
490,0.0,207.15447,207.40466,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25019198,146,,,0,,False,2,test,1
491,0.0,207.40466,207.65485,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,192,,,0,,False,1,train,2
492,0.0,207.65485,207.90504,null,4.0,"[3644.93333333, 3644.93333333]",null,-20.0,0.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25019198,22,,,0,,False,2,test,0
493,0.0,207.90504,208.15527,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,90.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25022302,170,,,0,,False,2,test,2
