stimulus_presentation_id,stimulus_block,start_time,stop_time,stimulus_name,contrast,coherence,x_position,size,temporal_frequency,orientation,phase,Dir,spatial_frequency,y_position,frame,color,Speed,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2900,0.0,793.92706,794.17727,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020952,129,,,0,,False,12,train,0
2901,0.0,794.17727,794.42748,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25020548,222,,,0,,False,11,test,1
2902,0.0,794.42748,794.67769,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020548,166,,,0,,False,11,test,2
2903,0.0,794.67769,794.92789,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020548,174,,,0,,False,13,train,2
2904,0.0,794.92789,795.1781,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020548,240,,,0,,False,12,train,2
2905,0.0,795.1781,795.42831,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25021202,217,,,0,,False,11,test,0
2906,0.0,795.42831,795.67852,gabors,0.8,null,-10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25021202,233,,,0,,False,13,train,2
2907,0.0,795.67852,795.92873,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25021202,187,,,0,,False,13,train,0
2908,0.0,795.92873,796.17894,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25021202,137,,,0,,False,9,train,2
2909,0.0,796.17894,796.42915,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25020798,225,,,0,,False,11,test,1
2910,0.0,796.42915,796.67936,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020798,180,,,0,,False,11,test,1
2911,0.0,796.67936,796.92957,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020798,85,,,0,,False,10,train,2
2912,0.0,796.92957,797.17978,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25020798,116,,,0,,False,13,train,2
2913,0.0,797.17978,797.42999,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25021452,8,,,0,,False,14,test,1
2914,0.0,797.42999,797.68021,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25021452,27,,,0,,False,11,test,1
2915,0.0,797.68021,797.93042,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25021452,87,,,0,,False,11,test,0
2916,0.0,797.93042,798.18063,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25021452,88,,,0,,False,12,train,0
2917,0.0,798.18063,798.43084,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25020298,87,,,0,,False,12,train,0
2918,0.0,798.43084,798.68104,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25020298,100,,,0,,False,12,train,2
2919,0.0,798.68104,798.93124,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25020298,221,,,0,,False,12,train,2
2920,0.0,798.93124,799.18145,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25020298,183,,,0,,False,11,test,2
2921,0.0,799.18145,799.43166,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25020952,20,,,0,,False,13,train,1
2922,0.0,799.43166,799.68187,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,30.0,null,null,null,0.25020952,42,,,0,,False,13,train,0
2923,0.0,799.68187,799.93207,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-30.0,null,null,null,0.25020952,82,,,0,,False,14,test,1
2924,0.0,799.93207,800.18228,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25020952,90,,,0,,False,13,train,2
2925,0.0,800.18228,800.43249,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25020548,7,,,0,,False,9,train,0
2926,0.0,800.43249,800.6827,gabors,0.8,null,20.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25020548,61,,,0,,False,9,train,0
2927,0.0,800.6827,800.9329,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25020548,21,,,0,,False,10,train,0
2928,0.0,800.9329,801.18311,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25020548,221,,,0,,False,13,train,2
2929,0.0,801.18311,801.43332,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25021452,59,,,0,,False,11,test,1
2930,0.0,801.43332,801.68354,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25021452,51,,,0,,False,12,train,1
2931,0.0,801.68354,801.93375,gabors,0.8,null,-10.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25021452,134,,,0,,False,12,train,1
2932,0.0,801.93375,802.18396,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021452,96,,,0,,False,11,test,1
2933,0.0,802.18396,802.43417,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,20.0,null,null,null,0.25021048,78,,,0,,False,9,train,2
2934,0.0,802.43417,802.68439,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021048,160,,,0,,False,13,train,0
2935,0.0,802.68439,802.9346,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25021048,176,,,0,,False,9,train,1
2936,0.0,802.9346,803.18481,gabors,0.8,null,-40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25021048,119,,,0,,False,12,train,0
2937,0.0,803.18481,803.43502,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25021202,6,,,0,,False,10,train,1
2938,0.0,803.43502,803.68523,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25021202,189,,,0,,False,13,train,1
2939,0.0,803.68523,803.93544,gabors,0.8,null,40.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25021202,200,,,0,,False,10,train,0
2940,0.0,803.93544,804.18565,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,null,null,null,0.25021202,39,,,0,,False,13,train,0
2941,0.0,804.18565,804.43585,gabors,0.8,null,10.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25019548,79,,,0,,False,11,test,2
2942,0.0,804.43585,804.68605,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,null,null,null,0.25019548,40,,,0,,False,13,train,2
2943,0.0,804.68605,804.93624,gabors,0.8,null,-30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,10.0,null,null,null,0.25019548,162,,,0,,False,10,train,0
2944,0.0,804.93624,805.18644,gabors,0.8,null,0.0,"[20.0, 20.0]",4.0,45.0,"[3644.93333333, 3644.93333333]",null,0.08,0.0,null,null,null,0.25019548,199,,,0,,False,11,test,1
2945,0.0,805.18644,805.43666,gabors,0.8,null,-20.0,"[20.0, 20.0]",4.0,90.0,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,null,null,null,0.25021952,156,,,0,,False,11,test,2
2946,0.0,805.43666,805.68688,gabors,0.8,null,30.0,"[20.0, 20.0]",4.0,0.0,"[3644.93333333, 3644.93333333]",null,0.08,40.0,null,null,null,0.25021952,145,,,0,,False,11,test,0
