stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,contrast,phase,size,temporal_frequency,Dir,frame,coherence,spatial_frequency,color,x_position,Speed,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1275,0.0,394.12325,394.37346,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,0.0,0.25021025,83,,,0,,False,4,train,0
1276,0.0,394.37346,394.62367,30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,90.0,0.25021025,240,,,0,,False,3,train,2
1277,0.0,394.62367,394.87387,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,0.0,0.25019725,34,,,0,,False,6,train,0
1278,0.0,394.87387,395.12406,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,40.0,null,45.0,0.25019725,148,,,0,,False,4,train,1
1279,0.0,395.12406,395.37426,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,0.0,0.25019725,90,,,0,,False,5,test,0
1280,0.0,395.37426,395.62446,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,0.0,0.25019725,165,,,0,,False,6,train,0
1281,0.0,395.62446,395.87468,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,90.0,0.25021775,226,,,0,,False,1,train,2
1282,0.0,395.87468,396.12489,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,45.0,0.25021775,22,,,0,,False,7,train,1
1283,0.0,396.12489,396.37511,20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-20.0,null,90.0,0.25021775,201,,,0,,False,4,train,2
1284,0.0,396.37511,396.62533,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,30.0,null,45.0,0.25021775,115,,,0,,False,3,train,1
1285,0.0,396.62533,396.87555,-10.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,10.0,null,45.0,0.25021725,95,,,0,,False,4,train,1
1286,0.0,396.87555,397.12576,-20.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-10.0,null,90.0,0.25021725,50,,,0,,False,4,train,2
1287,0.0,397.12576,397.37598,0.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,0.0,null,45.0,0.25021725,60,,,0,,False,7,train,1
1288,0.0,397.37598,397.6262,-30.0,gabors,0.8,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",4.0,null,null,null,0.08,null,-40.0,null,0.0,0.25021725,149,,,0,,False,5,test,0
