stimulus_presentation_id,stimulus_block,start_time,stop_time,x_position,frame,y_position,stimulus_name,Speed,spatial_frequency,size,contrast,orientation,coherence,color,Dir,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3497,0.0,943.67102,943.92124,-10.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25022313,45,,,0,,False,13,train,2
3498,0.0,943.92124,944.17147,10.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25022313,41,,,0,,False,13,train,0
3499,0.0,944.17147,944.42169,-40.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25022313,3,,,0,,False,14,test,1
3500,0.0,944.42169,944.67191,0.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25022313,147,,,0,,False,14,test,1
3501,0.0,944.67191,944.92212,40.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,106,,,0,,False,14,test,1
3502,0.0,944.92212,945.17232,20.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,151,,,0,,False,13,train,0
3503,0.0,945.17232,945.42252,-10.0,null,-20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,27,,,0,,False,14,test,2
3504,0.0,945.42252,945.67273,10.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020437,232,,,0,,False,13,train,1
3505,0.0,945.67273,945.92293,-20.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,189,,,0,,False,13,train,1
3506,0.0,945.92293,946.17313,30.0,null,-30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,199,,,0,,False,14,test,1
3507,0.0,946.17313,946.42333,-40.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,182,,,0,,False,14,test,0
3508,0.0,946.42333,946.67353,-10.0,null,40.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25020063,45,,,0,,False,14,test,2
3509,0.0,946.67353,946.92375,30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021437,86,,,0,,False,14,test,0
3510,0.0,946.92375,947.17396,-40.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021437,49,,,0,,False,14,test,0
3511,0.0,947.17396,947.42417,-10.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021437,123,,,0,,False,14,test,1
3512,0.0,947.42417,947.67439,20.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021437,59,,,0,,False,14,test,0
3513,0.0,947.67439,947.9246,30.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021313,28,,,0,,False,12,train,0
3514,0.0,947.9246,948.17482,0.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021313,44,,,0,,False,14,test,1
3515,0.0,948.17482,948.42503,30.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021313,37,,,0,,False,13,train,0
3516,0.0,948.42503,948.67524,30.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021313,166,,,0,,False,14,test,1
3517,0.0,948.67524,948.92544,30.0,null,20.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019937,132,,,0,,False,14,test,1
3518,0.0,948.92544,949.17564,10.0,null,30.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019937,41,,,0,,False,14,test,0
3519,0.0,949.17564,949.42584,30.0,null,0.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019937,215,,,0,,False,14,test,2
3520,0.0,949.42584,949.67604,20.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,0.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25019937,115,,,0,,False,14,test,0
3521,0.0,949.67604,949.92625,10.0,null,-10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,90.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,204,,,0,,False,13,train,2
3522,0.0,949.92625,950.17646,-10.0,null,10.0,gabors,null,0.08,"[20.0, 20.0]",0.8,45.0,null,null,null,"[3644.93333333, 3644.93333333]",4.0,0.25021063,212,,,0,,False,14,test,1
