stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,color,size,spatial_frequency,x_position,frame,contrast,stimulus_name,orientation,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2021,0.0,590.0288,590.27902,20.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,31,,,0,,False,8,test,0
2022,0.0,590.27902,590.52923,-30.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,19,,,0,,False,9,train,2
2023,0.0,590.52923,590.77945,-40.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,86,,,0,,False,9,train,1
2024,0.0,590.77945,591.02967,20.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,146,,,0,,False,6,train,0
2025,0.0,591.02967,591.27987,-30.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25020184,43,,,0,,False,5,test,2
2026,0.0,591.27987,591.53007,20.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020184,150,,,0,,False,9,train,1
2027,0.0,591.53007,591.78028,10.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020184,97,,,0,,False,10,train,0
2028,0.0,591.78028,592.03048,-30.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020184,226,,,0,,False,12,train,0
2029,0.0,592.03048,592.28068,-20.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020566,167,,,0,,False,11,test,1
2030,0.0,592.28068,592.53089,0.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020566,22,,,0,,False,9,train,0
2031,0.0,592.53089,592.7811,40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25020566,139,,,0,,False,8,test,2
2032,0.0,592.7811,593.0313,-40.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020566,207,,,0,,False,7,train,1
2033,0.0,593.0313,593.28151,-30.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020934,231,,,0,,False,5,test,1
2034,0.0,593.28151,593.53172,-30.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020934,198,,,0,,False,6,train,0
2035,0.0,593.53172,593.78193,40.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25020934,12,,,0,,False,10,train,1
2036,0.0,593.78193,594.03214,0.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25020934,32,,,0,,False,9,train,0
2037,0.0,594.03214,594.28236,-40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,1,,,0,,False,9,train,1
2038,0.0,594.28236,594.53258,-10.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022316,45,,,0,,False,10,train,1
