stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,size,color,frame,temporal_frequency,x_position,y_position,orientation,stimulus_name,spatial_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3104,0.0,865.91779,866.16801,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021757,67,,,0,,False,13,train,2
3105,0.0,866.16801,866.41821,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,41,,,0,,False,12,train,1
3106,0.0,866.41821,866.66841,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,241,,,0,,False,12,train,2
3107,0.0,866.66841,866.91861,0.8,"[20.0, 20.0]",null,null,4.0,40.0,0.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,85,,,0,,False,13,train,1
3108,0.0,866.91861,867.16881,0.8,"[20.0, 20.0]",null,null,4.0,0.0,20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25019993,88,,,0,,False,12,train,0
3109,0.0,867.16881,867.41903,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,32,,,0,,False,13,train,0
3110,0.0,867.41903,867.66924,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-10.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,108,,,0,,False,11,test,2
3111,0.0,867.66924,867.91946,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,199,,,0,,False,13,train,2
3112,0.0,867.91946,868.16967,0.8,"[20.0, 20.0]",null,null,4.0,30.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,207,,,0,,False,12,train,1
3113,0.0,868.16967,868.41987,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,231,,,0,,False,13,train,2
3114,0.0,868.41987,868.67008,0.8,"[20.0, 20.0]",null,null,4.0,10.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,23,,,0,,False,13,train,1
3115,0.0,868.67008,868.92028,0.8,"[20.0, 20.0]",null,null,4.0,-20.0,-20.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,241,,,0,,False,13,train,2
3116,0.0,868.92028,869.17048,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020243,32,,,0,,False,14,test,0
3117,0.0,869.17048,869.4207,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,166,,,0,,False,12,train,2
3118,0.0,869.4207,869.67091,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,-30.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,219,,,0,,False,11,test,0
3119,0.0,869.67091,869.92113,0.8,"[20.0, 20.0]",null,null,4.0,-40.0,-10.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,159,,,0,,False,8,test,0
3120,0.0,869.92113,870.17134,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,109,,,0,,False,13,train,1
3121,0.0,870.17134,870.42155,0.8,"[20.0, 20.0]",null,null,4.0,40.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,185,,,0,,False,10,train,1
3122,0.0,870.42155,870.67176,0.8,"[20.0, 20.0]",null,null,4.0,20.0,-40.0,90.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,92,,,0,,False,12,train,2
3123,0.0,870.67176,870.92196,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,20.0,0.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,218,,,0,,False,11,test,0
3124,0.0,870.92196,871.17217,0.8,"[20.0, 20.0]",null,null,4.0,30.0,40.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25020743,119,,,0,,False,12,train,1
3125,0.0,871.17217,871.42239,0.8,"[20.0, 20.0]",null,null,4.0,0.0,-10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,90,,,0,,False,11,test,1
3126,0.0,871.42239,871.6726,0.8,"[20.0, 20.0]",null,null,4.0,40.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,74,,,0,,False,10,train,1
3127,0.0,871.6726,871.92282,0.8,"[20.0, 20.0]",null,null,4.0,-10.0,10.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,45,,,0,,False,10,train,1
3128,0.0,871.92282,872.17303,0.8,"[20.0, 20.0]",null,null,4.0,-30.0,30.0,45.0,gabors,0.08,"[3644.93333333, 3644.93333333]",0.25021507,109,,,0,,False,14,test,1
