stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,stimulus_name,y_position,color,frame,size,x_position,spatial_frequency,orientation,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
359,0.0,179.95223,180.20245,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-10.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,47,,,0,,False,2,test,2
360,0.0,180.20245,180.45266,0.8,gabors,-30.0,null,null,"[20.0, 20.0]",0.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25021209,44,,,0,,False,4,train,2
361,0.0,180.45266,180.70286,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,112,,,0,,False,1,train,0
362,0.0,180.70286,180.95306,0.8,gabors,-40.0,null,null,"[20.0, 20.0]",-30.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,45,,,0,,False,4,train,2
363,0.0,180.95306,181.20327,0.8,gabors,0.0,null,null,"[20.0, 20.0]",30.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,1,,,0,,False,3,train,0
364,0.0,181.20327,181.45347,0.8,gabors,0.0,null,null,"[20.0, 20.0]",40.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020291,51,,,0,,False,1,train,2
365,0.0,181.45347,181.70368,0.8,gabors,30.0,null,null,"[20.0, 20.0]",-10.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020459,140,,,0,,False,2,test,1
366,0.0,181.70368,181.95388,0.8,gabors,0.0,null,null,"[20.0, 20.0]",20.0,0.08,45.0,4.0,"[3644.93333333, 3644.93333333]",0.25020459,2,,,0,,False,1,train,1
367,0.0,181.95388,182.20408,0.8,gabors,10.0,null,null,"[20.0, 20.0]",20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020459,124,,,0,,False,3,train,2
368,0.0,182.20408,182.45429,0.8,gabors,-20.0,null,null,"[20.0, 20.0]",-20.0,0.08,90.0,4.0,"[3644.93333333, 3644.93333333]",0.25020459,191,,,0,,False,0,train,2
369,0.0,182.45429,182.7045,0.8,gabors,0.0,null,null,"[20.0, 20.0]",-20.0,0.08,0.0,4.0,"[3644.93333333, 3644.93333333]",0.25021041,32,,,0,,False,1,train,0
