unit_id,selection_role,group,direction,rows_or_columns_removed,model,remaining_rows,remaining_columns,threshold_center_x_px,threshold_center_y_px,threshold_area_deg2,threshold_component_touches_crop_edge,original_threshold_component_censored,original_peak_removed,crop_stratum,success,at_bound,baseline,center_x_px,center_y_px,sigma_x_px,sigma_y_px,data_rmse,ring_modulation_rms,major_sigma_deg,minor_sigma_deg,major_sigma_ratio,absolute_log2_major_sigma_ratio,center_error_deg,threshold_area_ratio
951869357,V1 typical,V1,left,3,Baseline + DC ring,9,6,5,3.5,600,False,False,False,component intact,True,False,2.3529288,4.6150726,3.2516508,0.93584291,0.5625316,2.9462176,0.0041951259,9.3584291,5.625316,1.0110988,0.015923917,0.064852175,2
951869357,V1 typical,V1,left,4,Allen no baseline,9,5,4.5,3.5,400,True,False,False,component intact,True,False,0,1.6013559,3.2784157,3.8826754,0.78344014,,,38.826754,7.8344014,2.574483,1.3642828,32.508228,1.3333333
951869357,V1 typical,V1,left,4,Baseline screen-bounded,9,5,4.5,3.5,400,True,False,False,component intact,True,True,1.9867337,4,3.2772375,2.0351443,0.61364219,3.0729266,,20.351443,6.1364219,2.1987998,1.1367163,6.209408,1.3333333
951869357,V1 typical,V1,left,4,Baseline extended,9,5,4.5,3.5,400,True,False,False,component intact,True,False,1.9118187,3.2616863,3.276083,2.5602768,0.62128095,3.0648578,,25.602768,6.2128095,2.7661609,1.4678851,13.588489,1.3333333
951869357,V1 typical,V1,left,4,Baseline + DC ring,9,5,4.5,3.5,400,True,False,False,component intact,True,False,2.0800366,4.1758768,3.2751885,1.813691,0.60512668,3.0818379,0.80229662,18.13691,6.0512668,1.9595391,0.97051434,4.4520995,1.3333333
951869357,V1 typical,V1,right,0,Allen no baseline,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,0,4.852142,3.2629793,1.5081379,0.76786098,,,15.081379,7.6786098,1,0,0,1
951869357,V1 typical,V1,right,0,Baseline screen-bounded,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850031,4.6202393,3.2477311,0.92557053,0.57157265,2.6739389,,9.2557053,5.7157265,1,0,0,1
951869357,V1 typical,V1,right,0,Baseline extended,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850032,4.6202393,3.2477311,0.92557046,0.57157265,2.6739389,,9.2557046,5.7157265,1,0,0,1
951869357,V1 typical,V1,right,0,Baseline + DC ring,9,9,4.6667,3.3333,300,False,False,False,component intact,True,False,2.1850034,4.6202392,3.2477311,0.92557023,0.57157264,2.6739389,0.00095552861,9.2557023,5.7157264,1,0,0,1
951869357,V1 typical,V1,right,1,Allen no baseline,9,8,4.8,3.6,500,False,False,False,component intact,True,False,0,4.6809789,3.2301583,1.170409,0.7070462,,,11.70409,7.070462,0.77606233,0.36575556,1.7428149,1.6666667
951869357,V1 typical,V1,right,1,Baseline screen-bounded,9,8,4.8,3.6,500,False,False,False,component intact,True,False,2.11689,4.6186004,3.2459772,0.92373288,0.57522693,2.5805571,,9.2373288,5.7522693,0.99801458,0.0028672082,0.024005438,1.6666667
951869357,V1 typical,V1,right,1,Baseline extended,9,8,4.8,3.6,500,False,False,False,component intact,True,False,2.1168901,4.6186003,3.2459772,0.92373281,0.57522692,2.5805571,,9.2373281,5.7522692,0.99801458,0.0028672021,0.024005432,1.6666667
951869357,V1 typical,V1,right,1,Baseline + DC ring,9,8,4.8,3.6,500,False,False,False,component intact,True,False,2.1168903,4.6186004,3.2459772,0.92373263,0.57522691,2.5805571,0.0015991846,9.2373263,5.7522691,0.99801463,0.0028671345,0.024004381,1.6666667
951869357,V1 typical,V1,right,2,Allen no baseline,9,7,4.8,3.4,500,True,False,False,component intact,True,False,0,4.5839002,3.2083231,0.96288062,0.67581375,,,9.6288062,6.7581375,0.63845663,0.64733948,2.737535,1.6666667
951869357,V1 typical,V1,right,2,Baseline screen-bounded,9,7,4.8,3.4,500,True,False,False,component intact,True,False,1.7889487,4.5907162,3.2326519,0.87317586,0.58999018,1.7255317,,8.7317586,5.8999018,0.94339202,0.084070693,0.33151177,1.6666667
951869357,V1 typical,V1,right,2,Baseline extended,9,7,4.8,3.4,500,True,False,False,component intact,True,False,1.7889487,4.5907162,3.2326519,0.87317587,0.58999016,1.7255317,,8.7317587,5.8999016,0.94339211,0.084070556,0.33151163,1.6666667
951869357,V1 typical,V1,right,2,Baseline + DC ring,9,7,4.8,3.4,500,True,False,False,component intact,True,False,1.7889487,4.5907162,3.2326518,0.87317585,0.58999016,1.7255317,0.00065158974,8.7317585,5.8999016,0.94339232,0.08407024,0.33151101,1.6666667
951869357,V1 typical,V1,right,3,Allen no baseline,9,6,4.6667,3.3333,300,True,False,False,component intact,True,False,0,4.648717,3.2008966,1.0399077,0.66485384,,,10.399077,6.6485384,0.6895309,0.5363129,2.126876,1
951869357,V1 typical,V1,right,3,Baseline screen-bounded,9,6,4.6667,3.3333,300,True,False,False,component intact,True,False,1.8468895,4.6230478,3.2256612,0.91432477,0.58664705,1.8072998,,9.1432477,5.8664705,0.98784991,0.017636227,0.22247927,1
951869357,V1 typical,V1,right,3,Baseline extended,9,6,4.6667,3.3333,300,True,False,False,component intact,True,False,1.8468907,4.6230471,3.225661,0.91432282,0.58664698,1.8072998,,9.1432282,5.8664698,0.98784789,0.017639187,0.22247973,1
