session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
791319847,V1,point,127,-0.000232465244,0.417322835,0.995040933,0.0157480315,0.0708661417,24.3662965,0.69728586
793224716,HVA,aperture,150,0.000573694874,0.64,0.999701485,0.32,0.326666667,438.537572,24.3928042
793224716,HVA,point,150,0.000287054971,0.58,1.00530846,0.18,0.166666667,33.9988814,1.61334705
793224716,V1,aperture,127,1.14203077e-05,0.535433071,1,0.25984252,0.338582677,342.576118,16.3736865
793224716,V1,point,127,0.000340330381,0.606299213,0.995762999,0.031496063,0.062992126,23.4263884,0.704829605
794812542,HVA,aperture,302,0.000531023483,0.61589404,1.00005673,0.258278146,0.258278146,830.115457,20.452325
794812542,HVA,point,302,0.000561649361,0.619205298,0.999876584,0.119205298,0.105960265,58.8133958,0.756070646
794812542,V1,aperture,113,2.00748292e-06,0.504424779,0.999286501,0.238938053,0.283185841,337.442756,69.3387873
794812542,V1,point,113,-4.14446105e-05,0.469026549,0.990321569,0.0353982301,0.0353982301,24.2272835,3.7281345
797828357,HVA,aperture,279,0.00010813822,0.544802867,1.00226224,0.369175627,0.304659498,784.996677,10.2511172
797828357,HVA,point,279,5.90899736e-05,0.548387097,1.00031878,0.258064516,0.222222222,63.6163165,1.34547551
797828357,V1,aperture,117,0.000468873763,0.581196581,1,0.247863248,0.290598291,288.864056,8.88467636
797828357,V1,point,117,0.000453336533,0.623931624,0.99989543,0.0256410256,0.0427350427,33.4394586,9.65928859
798911424,HVA,aperture,384,0.00037059498,0.591145833,1.00013421,0.21875,0.221354167,1068.01863,48.6303585
798911424,HVA,point,384,0.000335306632,0.565104167,0.999859933,0.127604167,0.0989583333,84.6426835,7.79986366
798911424,V1,aperture,127,0.000201013422,0.559055118,1.00246446,0.275590551,0.338582677,335.32099,8.67545025
