stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,frame,coherence,x_position,contrast,color,size,Dir,spatial_frequency,orientation,temporal_frequency,Speed,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1065,0.0,341.60714,341.85735,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2502038,180,,,0,,False,3,train,2
1066,0.0,341.85735,342.10755,"[3644.93333333, 3644.93333333]",gabors,null,null,20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,30.0,0.2502038,198,,,0,,False,3,train,0
1067,0.0,342.10755,342.35775,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,20.0,0.2502038,77,,,0,,False,3,train,1
1068,0.0,342.35775,342.60796,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,30.0,0.2502038,207,,,0,,False,2,test,0
1069,0.0,342.60796,342.85817,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-10.0,0.2502112,200,,,0,,False,5,test,1
1070,0.0,342.85817,343.10838,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502112,31,,,0,,False,4,train,0
1071,0.0,343.10838,343.35859,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-40.0,0.2502112,151,,,0,,False,4,train,1
1072,0.0,343.35859,343.6088,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502112,1,,,0,,False,4,train,0
1073,0.0,343.6088,343.85901,"[3644.93333333, 3644.93333333]",gabors,null,null,0.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,10.0,0.2502063,241,,,0,,False,2,test,2
1074,0.0,343.85901,344.10922,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502063,242,,,0,,False,0,train,2
1075,0.0,344.10922,344.35942,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-20.0,0.2502063,85,,,0,,False,4,train,1
1076,0.0,344.35942,344.60963,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-30.0,0.2502063,140,,,0,,False,4,train,1
1077,0.0,344.60963,344.85984,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,20.0,0.2502112,210,,,0,,False,5,test,2
1078,0.0,344.85984,345.11005,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-10.0,0.2502112,204,,,0,,False,2,test,2
1079,0.0,345.11005,345.36026,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-10.0,0.2502112,141,,,0,,False,5,test,2
1080,0.0,345.36026,345.61047,"[3644.93333333, 3644.93333333]",gabors,null,null,-10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-30.0,0.2502112,115,,,0,,False,3,train,0
1081,0.0,345.61047,345.86068,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-10.0,0.2502063,202,,,0,,False,2,test,2
1082,0.0,345.86068,346.11089,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-40.0,0.2502063,212,,,0,,False,4,train,0
1083,0.0,346.11089,346.36109,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-10.0,0.2502063,170,,,0,,False,3,train,2
1084,0.0,346.36109,346.6113,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-20.0,0.2502063,72,,,0,,False,3,train,1
1085,0.0,346.6113,346.86151,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,10.0,0.2502112,168,,,0,,False,3,train,0
1086,0.0,346.86151,347.11172,"[3644.93333333, 3644.93333333]",gabors,null,null,-20.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,20.0,0.2502112,108,,,0,,False,3,train,0
1087,0.0,347.11172,347.36193,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,-10.0,0.2502112,90,,,0,,False,4,train,0
1088,0.0,347.36193,347.61214,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,0.0,0.2502112,39,,,0,,False,2,test,2
1089,0.0,347.61214,347.86235,"[3644.93333333, 3644.93333333]",gabors,null,null,-30.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,-40.0,0.2502113,124,,,0,,False,5,test,1
1090,0.0,347.86235,348.11257,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,-30.0,0.2502113,237,,,0,,False,1,train,2
1091,0.0,348.11257,348.36278,"[3644.93333333, 3644.93333333]",gabors,null,null,10.0,0.8,null,"[20.0, 20.0]",null,0.08,45.0,4.0,null,0.0,0.2502113,232,,,0,,False,2,test,1
1092,0.0,348.36278,348.61299,"[3644.93333333, 3644.93333333]",gabors,null,null,40.0,0.8,null,"[20.0, 20.0]",null,0.08,0.0,4.0,null,30.0,0.2502113,46,,,0,,False,4,train,0
1093,0.0,348.61299,348.8632,"[3644.93333333, 3644.93333333]",gabors,null,null,30.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,40.0,0.2502162,73,,,0,,False,6,train,2
1094,0.0,348.8632,349.11342,"[3644.93333333, 3644.93333333]",gabors,null,null,-40.0,0.8,null,"[20.0, 20.0]",null,0.08,90.0,4.0,null,30.0,0.2502162,62,,,0,,False,6,train,2
