stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,Dir,contrast,Speed,orientation,temporal_frequency,color,phase,coherence,spatial_frequency,x_position,size,stimulus_name,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2507,0.0,702.3174,702.56761,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,30.0,0.25020827,201,,,0,,False,13,train,2
2508,0.0,702.56761,702.81782,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-10.0,"[20.0, 20.0]",gabors,-20.0,0.25020827,63,,,0,,False,11,test,2
2509,0.0,702.81782,703.06803,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-40.0,"[20.0, 20.0]",gabors,-40.0,0.25020923,168,,,0,,False,9,train,1
2510,0.0,703.06803,703.31823,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,-30.0,0.25020923,137,,,0,,False,8,test,2
2511,0.0,703.31823,703.56844,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,40.0,0.25020923,95,,,0,,False,14,test,1
2512,0.0,703.56844,703.81865,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,10.0,"[20.0, 20.0]",gabors,30.0,0.25020923,198,,,0,,False,9,train,2
2513,0.0,703.81865,704.06886,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,30.0,0.25020577,221,,,0,,False,10,train,2
2514,0.0,704.06886,704.31906,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,-20.0,"[20.0, 20.0]",gabors,20.0,0.25020577,124,,,0,,False,9,train,1
2515,0.0,704.31906,704.56927,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,-20.0,0.25020577,230,,,0,,False,11,test,0
2516,0.0,704.56927,704.81948,null,null,0.8,null,0.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,30.0,"[20.0, 20.0]",gabors,30.0,0.25020577,151,,,0,,False,9,train,0
2517,0.0,704.81948,705.06969,null,null,0.8,null,45.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,-20.0,0.25021423,73,,,0,,False,11,test,1
2518,0.0,705.06969,705.3199,null,null,0.8,null,90.0,4.0,null,"[3644.93333333, 3644.93333333]",null,0.08,40.0,"[20.0, 20.0]",gabors,10.0,0.25021423,134,,,0,,False,12,train,2
