stimulus_presentation_id,stimulus_block,start_time,stop_time,color,orientation,contrast,spatial_frequency,frame,stimulus_name,size,temporal_frequency,x_position,y_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
75,0.0,97.3351,97.585303,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020294,64,,,2,,False,0,train,2
76,0.0,97.585303,97.835506,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020294,65,-0.40078357,-0.37640196,4,0.12282004,True,0,train,0
77,0.0,97.835506,98.085718,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-10.0,0.0,"[3644.93333333, 3644.93333333]",0.25021206,66,-0.2344488,-0.21278847,8,0.20051367,True,0,train,0
78,0.0,98.085718,98.33593,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-10.0,"[3644.93333333, 3644.93333333]",0.25021206,67,-0.21539142,-0.4134696,7,0.18012626,True,0,train,0
79,0.0,98.33593,98.586142,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,40.0,"[3644.93333333, 3644.93333333]",0.25021206,68,-0.32211157,-0.31687532,8,0.21113477,True,0,train,2
80,0.0,98.586142,98.836354,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-20.0,"[3644.93333333, 3644.93333333]",0.25021206,69,-0.28062145,-0.2298122,7,0.24476871,True,0,train,2
81,0.0,98.836354,99.08656,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,0.0,"[3644.93333333, 3644.93333333]",0.25020544,25,-0.18030435,-0.43647732,8,0.11645684,True,1,train,2
82,0.0,99.08656,99.336765,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,20.0,"[3644.93333333, 3644.93333333]",0.25020544,70,-0.26896146,-0.49039151,7,0.24389618,True,0,train,1
83,0.0,99.336765,99.58697,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-20.0,"[3644.93333333, 3644.93333333]",0.25020544,71,,,1,,False,0,train,0
84,0.0,99.58697,99.837176,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,10.0,"[3644.93333333, 3644.93333333]",0.25020544,38,-0.26342751,-0.39920222,4,0.15255983,True,1,train,1
85,0.0,99.837176,100.08739,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,10.0,"[3644.93333333, 3644.93333333]",0.25021206,72,-0.065059507,-0.48303188,8,0.20103426,True,0,train,0
86,0.0,100.08739,100.3376,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-20.0,"[3644.93333333, 3644.93333333]",0.25021206,69,-0.058572202,-0.40611956,7,0.10651072,True,1,train,2
87,0.0,100.3376,100.58781,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-30.0,-10.0,"[3644.93333333, 3644.93333333]",0.25021206,43,-0.27574381,-0.37628958,3,0.12938388,True,1,train,0
88,0.0,100.58781,100.83802,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-10.0,"[3644.93333333, 3644.93333333]",0.25021206,73,-0.27838556,-0.42237931,4,0.2328902,True,0,train,1
89,0.0,100.83802,101.08823,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,10.0,"[3644.93333333, 3644.93333333]",0.25020544,74,-0.11302473,-0.85318511,8,0.14304198,True,0,train,2
90,0.0,101.08823,101.33844,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,40.0,"[3644.93333333, 3644.93333333]",0.25020544,21,0.073696414,-0.57626438,7,0.090052106,True,2,test,0
91,0.0,101.33844,101.58864,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-20.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020544,65,-0.13347723,-0.58902138,8,0.19601119,True,1,train,0
92,0.0,101.58864,101.83885,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020544,75,-0.28562716,-0.51748916,7,0.19603409,True,0,train,2
93,0.0,101.83885,102.08906,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020956,67,-0.012001682,-0.448101,8,0.29078762,True,1,train,0
94,0.0,102.08906,102.33927,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,0.0,30.0,"[3644.93333333, 3644.93333333]",0.25020956,76,0.037449471,-0.37013435,7,0.12316857,True,0,train,0
95,0.0,102.33927,102.58947,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,10.0,"[3644.93333333, 3644.93333333]",0.25020956,77,0.33957846,-0.50071073,8,0.18474812,True,0,train,1
96,0.0,102.58947,102.83968,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,10.0,-40.0,"[3644.93333333, 3644.93333333]",0.25020956,78,0.23491208,-0.5212944,7,0.18964485,True,0,train,0
97,0.0,102.83968,103.08989,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,-30.0,"[3644.93333333, 3644.93333333]",0.25020544,42,0.2272988,-0.43405133,8,0.14598048,True,1,train,2
98,0.0,103.08989,103.3401,null,45.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,-40.0,-10.0,"[3644.93333333, 3644.93333333]",0.25020544,73,0.048984966,-0.51537893,7,0.14418848,True,1,train,1
99,0.0,103.3401,103.5903,null,0.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,20.0,10.0,"[3644.93333333, 3644.93333333]",0.25020544,79,0.061044199,-0.62314425,8,0.11817288,True,0,train,0
100,0.0,103.5903,103.84051,null,90.0,0.8,0.08,null,gabors,"[20.0, 20.0]",4.0,40.0,20.0,"[3644.93333333, 3644.93333333]",0.25020544,80,-0.0023242857,-0.61734574,7,0.14081464,True,0,train,2
