stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,orientation,frame,stimulus_name,y_position,color,spatial_frequency,temporal_frequency,size,x_position,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2962,0.0,825.50641,825.75661,0.8,0.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020149,216,,,0,,False,12,train,0
2963,0.0,825.75661,826.00681,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020149,168,,,0,,False,10,train,0
2964,0.0,826.00681,826.25701,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020149,52,,,0,,False,11,test,0
2965,0.0,826.25701,826.50722,0.8,45.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",-30.0,"[3644.93333333, 3644.93333333]",0.25020601,163,,,0,,False,10,train,1
2966,0.0,826.50722,826.75743,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25020601,124,,,0,,False,12,train,0
2967,0.0,826.75743,827.00763,0.8,0.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25020601,22,,,0,,False,13,train,0
2968,0.0,827.00763,827.25784,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25020601,205,,,0,,False,12,train,0
2969,0.0,827.25784,827.50805,0.8,0.0,null,gabors,-30.0,null,0.08,4.0,"[20.0, 20.0]",30.0,"[3644.93333333, 3644.93333333]",0.25021149,243,,,0,,False,13,train,0
2970,0.0,827.50805,827.75826,0.8,90.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021149,97,,,0,,False,13,train,2
2971,0.0,827.75826,828.00847,0.8,0.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",0.0,"[3644.93333333, 3644.93333333]",0.25021149,205,,,0,,False,13,train,0
2972,0.0,828.00847,828.25868,0.8,0.0,null,gabors,10.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25021149,123,,,0,,False,11,test,0
2973,0.0,828.25868,828.5089,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021851,124,,,0,,False,13,train,0
2974,0.0,828.5089,828.75912,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",-10.0,"[3644.93333333, 3644.93333333]",0.25021851,220,,,0,,False,12,train,0
2975,0.0,828.75912,829.00934,0.8,45.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25021851,158,,,0,,False,11,test,1
2976,0.0,829.00934,829.25956,0.8,90.0,null,gabors,-20.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25021851,217,,,0,,False,12,train,2
2977,0.0,829.25956,829.50976,0.8,90.0,null,gabors,-40.0,null,0.08,4.0,"[20.0, 20.0]",10.0,"[3644.93333333, 3644.93333333]",0.25019899,187,,,0,,False,10,train,2
2978,0.0,829.50976,829.75996,0.8,0.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-40.0,"[3644.93333333, 3644.93333333]",0.25019899,221,,,0,,False,11,test,0
2979,0.0,829.75996,830.01015,0.8,45.0,null,gabors,20.0,null,0.08,4.0,"[20.0, 20.0]",40.0,"[3644.93333333, 3644.93333333]",0.25019899,44,,,0,,False,12,train,1
2980,0.0,830.01015,830.26035,0.8,90.0,null,gabors,0.0,null,0.08,4.0,"[20.0, 20.0]",-20.0,"[3644.93333333, 3644.93333333]",0.25019899,31,,,0,,False,12,train,2
2981,0.0,830.26035,830.51056,0.8,0.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021101,130,,,0,,False,11,test,0
2982,0.0,830.51056,830.76078,0.8,45.0,null,gabors,30.0,null,0.08,4.0,"[20.0, 20.0]",20.0,"[3644.93333333, 3644.93333333]",0.25021101,85,,,0,,False,13,train,1
