stimulus_presentation_id,stimulus_block,start_time,stop_time,color,stimulus_name,orientation,x_position,size,y_position,spatial_frequency,phase,temporal_frequency,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1630,0.0,496.25831,496.50853,null,gabors,0.0,-10.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,165,,,0,,False,5,test,0
1631,0.0,496.50853,496.75874,null,gabors,0.0,-40.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,106,,,0,,False,6,train,0
1632,0.0,496.75874,497.00896,null,gabors,45.0,30.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021503,117,,,0,,False,6,train,1
1633,0.0,497.00896,497.25916,null,gabors,90.0,-40.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,239,,,0,,False,6,train,2
1634,0.0,497.25916,497.50936,null,gabors,90.0,-20.0,"[20.0, 20.0]",30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,2,,,0,,False,5,test,2
1635,0.0,497.50936,497.75957,null,gabors,90.0,-40.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,121,,,0,,False,5,test,2
1636,0.0,497.75957,498.00977,null,gabors,90.0,40.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020247,207,,,0,,False,6,train,2
1637,0.0,498.00977,498.25998,null,gabors,90.0,0.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,31,,,0,,False,7,train,2
1638,0.0,498.25998,498.51019,null,gabors,90.0,0.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,31,,,0,,False,8,test,2
1639,0.0,498.51019,498.76041,null,gabors,90.0,-40.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,214,,,0,,False,5,test,2
1640,0.0,498.76041,499.01062,null,gabors,90.0,30.0,"[20.0, 20.0]",-10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,153,,,0,,False,8,test,2
1641,0.0,499.01062,499.26082,null,gabors,45.0,-30.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,52,,,0,,False,6,train,1
1642,0.0,499.26082,499.51103,null,gabors,90.0,0.0,"[20.0, 20.0]",-40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,186,,,0,,False,8,test,2
1643,0.0,499.51103,499.76123,null,gabors,0.0,20.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,225,,,0,,False,6,train,0
1644,0.0,499.76123,500.01144,null,gabors,45.0,40.0,"[20.0, 20.0]",-30.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020497,44,,,0,,False,5,test,1
1645,0.0,500.01144,500.26165,null,gabors,45.0,20.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,76,,,0,,False,6,train,1
1646,0.0,500.26165,500.51186,null,gabors,45.0,10.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,231,,,0,,False,6,train,1
1647,0.0,500.51186,500.76208,null,gabors,45.0,20.0,"[20.0, 20.0]",40.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,170,,,0,,False,5,test,1
1648,0.0,500.76208,501.01229,null,gabors,45.0,10.0,"[20.0, 20.0]",20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25021253,24,,,0,,False,7,train,1
1649,0.0,501.01229,501.2625,null,gabors,45.0,40.0,"[20.0, 20.0]",10.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,230,,,0,,False,7,train,1
1650,0.0,501.2625,501.5127,null,gabors,45.0,-40.0,"[20.0, 20.0]",-20.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,92,,,0,,False,9,train,1
1651,0.0,501.5127,501.76291,null,gabors,90.0,-40.0,"[20.0, 20.0]",0.0,0.08,"[3644.93333333, 3644.93333333]",4.0,0.8,null,0.25020747,122,,,0,,False,4,train,2
