outer_session_id,cortical_group,estimand,system,bandwidth_iqr_units,inner_animals,inner_median_spearman_rho
798911424,V1,total_group_map,observed_rf,0.2,13,0.04009603841536614
798911424,V1,total_group_map,observed_rf,0.35,13,0.10661764705882353
798911424,V1,total_group_map,observed_rf,0.55,13,0.19184491978609627
798911424,V1,total_group_map,observed_rf,0.8,13,0.24134199134199139
798911424,V1,total_group_map,observed_rf,1.15,13,0.22900432900432904
829720705,V1,within_area_location,ccf_anatomy,0.2,13,0.14143943562866984
829720705,V1,within_area_location,ccf_anatomy,0.35,13,0.07632727102380014
829720705,V1,within_area_location,ccf_anatomy,0.55,13,0.08944558234417067
829720705,V1,within_area_location,ccf_anatomy,0.8,13,0.1287318977450329
829720705,V1,within_area_location,ccf_anatomy,1.15,13,0.1287318977450329
829720705,V1,within_area_location,registered_map,0.2,13,0.015283691428263793
829720705,V1,within_area_location,registered_map,0.35,13,0.014755365183526757
829720705,V1,within_area_location,registered_map,0.55,13,0.1287318977450329
829720705,V1,within_area_location,registered_map,0.8,13,0.1287318977450329
829720705,V1,within_area_location,registered_map,1.15,13,0.1287318977450329
829720705,V1,within_area_location,observed_rf,0.2,13,0.08312124849939975
829720705,V1,within_area_location,observed_rf,0.35,13,0.12051020408163263
829720705,V1,within_area_location,observed_rf,0.55,13,0.2592352092352093
829720705,V1,within_area_location,observed_rf,0.8,13,0.2538961038961039
829720705,V1,within_area_location,observed_rf,1.15,13,0.2611111111111112
829720705,V1,total_group_map,ccf_anatomy,0.2,13,0.14143943562866984
829720705,V1,total_group_map,ccf_anatomy,0.35,13,0.07632727102380014
829720705,V1,total_group_map,ccf_anatomy,0.55,13,0.08944558234417067
829720705,V1,total_group_map,ccf_anatomy,0.8,13,0.1287318977450329
829720705,V1,total_group_map,ccf_anatomy,1.15,13,0.1287318977450329
829720705,V1,total_group_map,registered_map,0.2,13,0.016100356868113952
829720705,V1,total_group_map,registered_map,0.35,13,0.014755365183526757
829720705,V1,total_group_map,registered_map,0.55,13,0.1287318977450329
829720705,V1,total_group_map,registered_map,0.8,13,0.1287318977450329
829720705,V1,total_group_map,registered_map,1.15,13,0.1287318977450329
829720705,V1,total_group_map,observed_rf,0.2,13,0.08312124849939975
829720705,V1,total_group_map,observed_rf,0.35,13,0.12051020408163263
829720705,V1,total_group_map,observed_rf,0.55,13,0.2592352092352093
829720705,V1,total_group_map,observed_rf,0.8,13,0.2538961038961039
