stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,y_position,stimulus_name,phase,temporal_frequency,frame,orientation,size,color,x_position,spatial_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3187,0.0,881.43759,881.6878,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,40.0,0.08,0.25020741,222,,,0,,False,12,train,2
3188,0.0,881.6878,881.93801,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25020741,225,,,0,,False,12,train,1
3189,0.0,881.93801,882.18822,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25021509,110,,,0,,False,14,test,1
3190,0.0,882.18822,882.43844,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,0.0,0.08,0.25021509,88,,,0,,False,13,train,1
3191,0.0,882.43844,882.68865,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25021509,121,,,0,,False,13,train,1
3192,0.0,882.68865,882.93887,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25021509,228,,,0,,False,12,train,1
3193,0.0,882.93887,883.18907,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,0.0,0.08,0.25019991,21,,,0,,False,11,test,1
3194,0.0,883.18907,883.43927,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-40.0,0.08,0.25019991,217,,,0,,False,11,test,1
3195,0.0,883.43927,883.68947,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,20.0,0.08,0.25019991,242,,,0,,False,13,train,1
3196,0.0,883.68947,883.93967,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,30.0,0.08,0.25019991,43,,,0,,False,13,train,0
3197,0.0,883.93967,884.18987,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25020759,195,,,0,,False,12,train,1
3198,0.0,884.18987,884.44008,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-10.0,0.08,0.25020759,98,,,0,,False,13,train,2
3199,0.0,884.44008,884.69029,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-40.0,0.08,0.25020759,60,,,0,,False,12,train,2
3200,0.0,884.69029,884.9405,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020759,164,,,0,,False,14,test,2
3201,0.0,884.9405,885.19071,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25021241,119,,,0,,False,13,train,0
3202,0.0,885.19071,885.44092,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-10.0,0.08,0.25021241,68,,,0,,False,14,test,2
3203,0.0,885.44092,885.69113,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,20.0,0.08,0.25021241,91,,,0,,False,13,train,2
3204,0.0,885.69113,885.94135,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,10.0,0.08,0.25021241,87,,,0,,False,13,train,1
3205,0.0,885.94135,886.19156,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25021259,138,,,0,,False,12,train,0
3206,0.0,886.19156,886.44177,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,10.0,0.08,0.25021259,82,,,0,,False,12,train,0
3207,0.0,886.44177,886.69198,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25021259,103,,,0,,False,14,test,0
3208,0.0,886.69198,886.9422,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,30.0,0.08,0.25021259,1,,,0,,False,11,test,2
3209,0.0,886.9422,887.1924,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,0.0,0.08,0.25020491,127,,,0,,False,11,test,0
3210,0.0,887.1924,887.44261,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25020491,102,,,0,,False,13,train,0
3211,0.0,887.44261,887.69281,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-10.0,0.08,0.25020491,239,,,0,,False,11,test,0
3212,0.0,887.69281,887.94302,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020491,188,,,0,,False,11,test,1
3213,0.0,887.94302,888.19322,0.8,40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25020759,215,,,0,,False,12,train,1
3214,0.0,888.19322,888.44343,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,40.0,0.08,0.25020759,114,,,0,,False,12,train,2
3215,0.0,888.44343,888.69364,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-40.0,0.08,0.25020759,107,,,0,,False,13,train,0
3216,0.0,888.69364,888.94385,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,30.0,0.08,0.25020759,75,,,0,,False,13,train,0
3217,0.0,888.94385,889.19406,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-30.0,0.08,0.25020991,86,,,0,,False,14,test,1
3218,0.0,889.19406,889.44427,0.8,-40.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,0.0,0.08,0.25020991,44,,,0,,False,13,train,2
3219,0.0,889.44427,889.69448,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-30.0,0.08,0.25020991,135,,,0,,False,13,train,0
3220,0.0,889.69448,889.94469,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-10.0,0.08,0.25020991,141,,,0,,False,14,test,1
3221,0.0,889.94469,890.1949,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,-20.0,0.08,0.25021009,240,,,0,,False,12,train,0
3222,0.0,890.1949,890.44511,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,40.0,0.08,0.25021009,136,,,0,,False,13,train,0
3223,0.0,890.44511,890.69532,0.8,-30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,20.0,0.08,0.25021009,220,,,0,,False,13,train,0
3224,0.0,890.69532,890.94553,0.8,30.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25021009,195,,,0,,False,13,train,1
3225,0.0,890.94553,891.19574,0.8,20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25020991,94,,,0,,False,13,train,1
3226,0.0,891.19574,891.44595,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,-20.0,0.08,0.25020991,188,,,0,,False,12,train,1
3227,0.0,891.44595,891.69616,0.8,10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,30.0,0.08,0.25020991,1,,,0,,False,12,train,2
3228,0.0,891.69616,891.94637,0.8,-20.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,45.0,"[20.0, 20.0]",null,30.0,0.08,0.25020991,225,,,0,,False,13,train,1
3229,0.0,891.94637,892.19658,0.8,0.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,90.0,"[20.0, 20.0]",null,-30.0,0.08,0.25021259,67,,,0,,False,10,train,2
3230,0.0,892.19658,892.44679,0.8,-10.0,gabors,"[3644.93333333, 3644.93333333]",4.0,null,0.0,"[20.0, 20.0]",null,40.0,0.08,0.25021259,11,,,0,,False,14,test,0
