stimulus_presentation_id,stimulus_block,start_time,stop_time,temporal_frequency,stimulus_name,frame,phase,size,contrast,orientation,spatial_frequency,color,x_position,y_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2196,0.0,633.99642,634.24663,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,20.0,-40.0,0.25021066,54,,,0,,False,11,test,0
2197,0.0,634.24663,634.49684,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,10.0,10.0,0.25021184,36,,,0,,False,9,train,0
2198,0.0,634.49684,634.74706,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,10.0,-20.0,0.25021184,222,,,0,,False,7,train,0
2199,0.0,634.74706,634.99727,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,30.0,-20.0,0.25021184,224,,,0,,False,7,train,1
2200,0.0,634.99727,635.24748,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,40.0,30.0,0.25021184,70,,,0,,False,7,train,2
2201,0.0,635.24748,635.49768,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,-30.0,0.0,0.25020316,55,,,0,,False,11,test,1
2202,0.0,635.49768,635.74789,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,30.0,-10.0,0.25020316,175,,,0,,False,7,train,2
2203,0.0,635.74789,635.99809,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,0.0,0.25020316,105,,,0,,False,8,test,1
2204,0.0,635.99809,636.24829,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,0.0,-30.0,0.25020316,128,,,0,,False,8,test,0
2205,0.0,636.24829,636.49851,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,-30.0,10.0,0.25021684,117,,,0,,False,8,test,2
2206,0.0,636.49851,636.74873,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,40.0,0.25021684,200,,,0,,False,11,test,1
2207,0.0,636.74873,636.99894,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,90.0,0.08,null,0.0,-40.0,0.25021684,44,,,0,,False,6,train,2
2208,0.0,636.99894,637.24916,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,45.0,0.08,null,0.0,40.0,0.25021684,200,,,0,,False,12,train,1
2209,0.0,637.24916,637.49936,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,30.0,-10.0,0.25020066,239,,,0,,False,8,test,0
2210,0.0,637.49936,637.74956,4.0,gabors,null,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.8,0.0,0.08,null,-10.0,-40.0,0.25020066,1,,,0,,False,9,train,0
