start_time,stop_time,x_position,y_position,orientation,orientation_index,repeat,trial_split
627.8411893915712,628.0914033806464,-40.0,-30.0,45.0,1,10,train
628.0914033806464,628.3416093915713,20.0,30.0,90.0,2,12,train
628.3416093915713,628.5918154024963,-40.0,40.0,45.0,1,9,train
628.5918154024963,628.8420214134211,-40.0,-30.0,45.0,1,11,test
628.8420214134211,629.092227424346,-40.0,-10.0,90.0,2,6,train
629.092227424346,629.3424364134211,20.0,-20.0,45.0,1,8,test
629.3424364134211,629.5926454024961,30.0,-10.0,45.0,1,8,test
629.5926454024961,629.8428543915712,30.0,30.0,45.0,1,7,train
629.8428543915712,630.0930633806464,-20.0,-30.0,45.0,1,9,train
630.0930633806464,630.3432743915713,-30.0,30.0,90.0,2,8,test
630.3432743915713,630.5934854024963,10.0,10.0,90.0,2,10,train
630.5934854024963,630.8436964134211,40.0,40.0,90.0,2,10,train
630.8436964134211,631.093907424346,-30.0,-40.0,45.0,1,10,train
631.093907424346,631.344111413421,-10.0,40.0,45.0,1,9,train
631.344111413421,631.5943154024961,-40.0,20.0,0.0,0,9,train
631.5943154024961,631.8445193915712,-20.0,40.0,0.0,0,10,train
631.8445193915712,632.0947233806463,40.0,20.0,45.0,1,8,test
632.0947233806463,632.3449418915712,-20.0,-10.0,45.0,1,7,train
632.3449418915712,632.5951604024963,-40.0,40.0,45.0,1,10,train
632.5951604024963,632.845378913421,40.0,20.0,90.0,2,8,test
632.845378913421,633.0955974243459,-40.0,10.0,90.0,2,5,test
633.0955974243459,633.345798913421,30.0,-30.0,45.0,1,10,train
633.345798913421,633.5960004024963,-10.0,10.0,0.0,0,6,train
633.5960004024963,633.8462018915714,-40.0,30.0,45.0,1,8,test
633.8462018915714,634.0964033806465,-30.0,10.0,45.0,1,6,train
634.0964033806465,634.3466193915714,0.0,20.0,45.0,1,7,train
634.3466193915714,634.5968354024963,30.0,-10.0,90.0,2,7,train
634.5968354024963,634.847051413421,40.0,-30.0,90.0,2,10,train
634.847051413421,635.0972674243459,30.0,10.0,45.0,1,11,test
635.0972674243459,635.347471413421,-30.0,-30.0,45.0,1,4,train
635.347471413421,635.5976754024963,-40.0,-10.0,45.0,1,10,train
635.5976754024963,635.8478793915713,-20.0,0.0,0.0,0,8,test
635.8478793915713,636.0980833806465,-30.0,40.0,0.0,0,7,train
636.0980833806465,636.3482943915714,20.0,20.0,0.0,0,11,test
636.3482943915714,636.5985054024962,30.0,-40.0,0.0,0,11,test
636.5985054024962,636.848716413421,30.0,0.0,0.0,0,12,train
636.848716413421,637.0989274243459,20.0,-10.0,0.0,0,10,train
637.0989274243459,637.349133913421,-30.0,-30.0,45.0,1,5,test
637.349133913421,637.5993404024963,20.0,-40.0,45.0,1,11,test
637.5993404024963,637.8495468915713,-10.0,0.0,90.0,2,6,train
637.8495468915713,638.0997533806465,40.0,40.0,90.0,2,11,test
638.0997533806465,638.3499693915712,20.0,-30.0,45.0,1,8,test
638.3499693915712,638.6001854024962,-40.0,40.0,0.0,0,9,train
638.6001854024962,638.8504014134211,0.0,0.0,45.0,1,8,test
638.8504014134211,639.100617424346,0.0,10.0,0.0,0,6,train
639.100617424346,639.350821413421,-20.0,20.0,45.0,1,8,test
639.350821413421,639.6010254024961,-10.0,0.0,0.0,0,9,train
639.6010254024961,639.8512293915712,-40.0,-40.0,45.0,1,9,train
639.8512293915712,640.1014333806463,-10.0,20.0,45.0,1,11,test
640.1014333806463,640.3516518915712,30.0,-30.0,90.0,2,8,test
640.3516518915712,640.6018704024963,10.0,-10.0,45.0,1,6,train
640.6018704024963,640.852088913421,-40.0,40.0,0.0,0,10,train
640.852088913421,641.1023074243459,-40.0,-40.0,0.0,0,7,train
641.1023074243459,641.352506413421,20.0,-30.0,0.0,0,10,train
641.352506413421,641.6027054024961,40.0,0.0,0.0,0,7,train
641.6027054024961,641.8529043915713,30.0,0.0,45.0,1,9,train
641.8529043915713,642.1031033806464,-30.0,-30.0,90.0,2,10,train
642.1031033806464,642.3533268915713,-10.0,20.0,45.0,1,12,train
642.3533268915713,642.6035504024961,10.0,-30.0,45.0,1,7,train
642.6035504024961,642.853773913421,30.0,0.0,90.0,2,8,test
642.853773913421,643.1039974243461,-10.0,-20.0,90.0,2,6,train
643.1039974243461,643.3541914134211,20.0,-40.0,0.0,0,7,train
643.3541914134211,643.6043854024963,20.0,40.0,90.0,2,8,test
643.6043854024963,643.8545793915713,-40.0,-20.0,90.0,2,9,train
643.8545793915713,644.1047733806464,-40.0,10.0,90.0,2,6,train
644.1047733806464,644.3549818915712,20.0,-20.0,90.0,2,7,train
644.3549818915712,644.6051904024963,-40.0,-40.0,0.0,0,8,test
644.6051904024963,644.855398913421,20.0,0.0,0.0,0,9,train
644.855398913421,645.105607424346,10.0,-10.0,90.0,2,10,train
645.105607424346,645.355816413421,0.0,30.0,45.0,1,9,train
645.355816413421,645.6060254024962,-30.0,0.0,90.0,2,11,test
645.6060254024962,645.8562343915713,30.0,30.0,90.0,2,10,train
645.8562343915713,646.1064433806465,0.0,20.0,0.0,0,8,test
646.1064433806465,646.3566493915713,20.0,0.0,90.0,2,10,train
646.3566493915713,646.6068554024963,40.0,-30.0,0.0,0,6,train
646.6068554024963,646.8570614134211,0.0,-30.0,45.0,1,11,test
646.8570614134211,647.107267424346,-10.0,40.0,90.0,2,8,test
647.107267424346,647.357481413421,-40.0,0.0,45.0,1,9,train
647.357481413421,647.6076954024962,-30.0,-30.0,0.0,0,7,train
647.6076954024962,647.8579093915713,-30.0,10.0,90.0,2,9,train
647.8579093915713,648.1081233806465,10.0,-40.0,90.0,2,5,test
648.1081233806465,648.3583368915713,40.0,10.0,0.0,0,9,train
648.3583368915713,648.6085504024962,20.0,-40.0,45.0,1,12,train
648.6085504024962,648.8587639134211,30.0,20.0,90.0,2,12,train
648.8587639134211,649.108977424346,30.0,10.0,0.0,0,7,train
649.108977424346,649.3591789134211,-30.0,10.0,45.0,1,7,train
649.3591789134211,649.6093804024963,0.0,0.0,45.0,1,9,train
649.6093804024963,649.8595818915715,0.0,-30.0,90.0,2,10,train
649.8595818915715,650.1097833806465,-40.0,40.0,0.0,0,11,test
650.1097833806465,650.3599943915714,10.0,0.0,90.0,2,10,train
650.3599943915714,650.6102054024963,0.0,-30.0,0.0,0,9,train
650.6102054024963,650.860416413421,20.0,40.0,90.0,2,9,train
650.860416413421,651.1106274243458,-30.0,-20.0,45.0,1,8,test
651.1106274243458,651.360838913421,40.0,0.0,90.0,2,10,train
651.360838913421,651.6110504024963,40.0,-30.0,45.0,1,5,test
651.6110504024963,651.8612618915713,-10.0,10.0,45.0,1,8,test
651.8612618915713,652.1114733806463,40.0,-30.0,45.0,1,6,train
652.1114733806463,652.3616843915713,-10.0,20.0,0.0,0,7,train
652.3616843915713,652.6118954024963,10.0,-20.0,90.0,2,9,train
652.6118954024963,652.8621064134211,-10.0,10.0,0.0,0,7,train
652.8621064134211,653.112317424346,0.0,10.0,0.0,0,7,train
653.112317424346,653.3625214134211,20.0,-20.0,0.0,0,9,train
653.3625214134211,653.6127254024963,-20.0,-30.0,90.0,2,7,train
653.6127254024963,653.8629293915714,0.0,10.0,90.0,2,8,test
653.8629293915714,654.1131333806463,0.0,-10.0,0.0,0,10,train
654.1131333806463,654.3633418915713,10.0,20.0,0.0,0,8,test
654.3633418915713,654.6135504024961,20.0,-10.0,45.0,1,8,test
654.6135504024961,654.8637589134211,-20.0,40.0,45.0,1,11,test
654.8637589134211,655.1139674243459,0.0,40.0,45.0,1,8,test
655.1139674243459,655.364178913421,-20.0,-20.0,0.0,0,8,test
655.364178913421,655.6143904024963,-40.0,10.0,90.0,2,7,train
655.6143904024963,655.8646018915713,-20.0,-20.0,45.0,1,9,train
655.8646018915713,656.1148133806464,30.0,-20.0,0.0,0,10,train
656.1148133806464,656.3650168915713,40.0,-30.0,0.0,0,7,train
656.3650168915713,656.6152204024961,0.0,-10.0,45.0,1,7,train
656.6152204024961,656.8654239134211,-20.0,-20.0,90.0,2,9,train
656.8654239134211,657.1156274243458,40.0,-30.0,45.0,1,7,train
657.1156274243458,657.365841413421,0.0,10.0,0.0,0,8,test
657.365841413421,657.6160554024963,10.0,0.0,90.0,2,11,test
657.6160554024963,657.8662693915712,40.0,30.0,90.0,2,9,train
657.8662693915712,658.1164833806464,10.0,20.0,90.0,2,11,test
658.1164833806464,658.3666993915713,40.0,-30.0,90.0,2,11,test
658.3666993915713,658.6169154024961,20.0,20.0,45.0,1,7,train
658.6169154024961,658.867131413421,0.0,40.0,0.0,0,7,train
658.867131413421,659.1173474243459,20.0,20.0,45.0,1,8,test
659.1173474243459,659.367551413421,0.0,40.0,90.0,2,8,test
659.367551413421,659.6177554024963,-40.0,-40.0,45.0,1,10,train
659.6177554024963,659.8679593915713,20.0,10.0,90.0,2,12,train
659.8679593915713,660.1181633806465,10.0,10.0,45.0,1,9,train
660.1181633806465,660.3683768915713,30.0,10.0,90.0,2,8,test
660.3683768915713,660.6185904024962,20.0,-30.0,90.0,2,7,train
660.6185904024962,660.8688039134211,30.0,-20.0,90.0,2,6,train
660.8688039134211,661.119017424346,-20.0,10.0,0.0,0,11,test
661.119017424346,661.3692214134211,10.0,40.0,45.0,1,10,train
661.3692214134211,661.6194254024963,20.0,40.0,90.0,2,10,train
661.6194254024963,661.8696293915714,10.0,-30.0,90.0,2,9,train
661.8696293915714,662.1198333806465,20.0,30.0,45.0,1,11,test
662.1198333806465,662.3700468915713,-40.0,30.0,90.0,2,7,train
662.3700468915713,662.6202604024962,10.0,40.0,45.0,1,11,test
662.6202604024962,662.870473913421,-20.0,-10.0,0.0,0,5,test
662.870473913421,663.120687424346,30.0,0.0,90.0,2,9,train
663.120687424346,663.3708939134211,10.0,20.0,45.0,1,10,train
663.3708939134211,663.6211004024963,0.0,-10.0,0.0,0,11,test
663.6211004024963,663.8713068915713,-30.0,30.0,90.0,2,9,train
663.8713068915713,664.1215133806463,-10.0,30.0,45.0,1,7,train
664.1215133806463,664.3717293915713,-30.0,30.0,45.0,1,7,train
664.3717293915713,664.6219454024963,-30.0,30.0,45.0,1,8,test
664.6219454024963,664.872161413421,10.0,30.0,45.0,1,9,train
664.872161413421,665.1223774243458,40.0,-40.0,45.0,1,10,train
665.1223774243458,665.3725789134211,30.0,-30.0,0.0,0,5,test
665.3725789134211,665.6227804024962,20.0,-40.0,90.0,2,11,test
665.6227804024962,665.8729818915714,-20.0,-30.0,45.0,1,10,train
665.8729818915714,666.1231833806463,-10.0,40.0,90.0,2,9,train
666.1231833806463,666.3733943915713,-20.0,-30.0,45.0,1,11,test
666.3733943915713,666.6236054024963,40.0,-20.0,45.0,1,9,train
666.6236054024963,666.8738164134211,-30.0,10.0,0.0,0,8,test
666.8738164134211,667.124027424346,40.0,0.0,0.0,0,8,test
667.124027424346,667.3742314134211,10.0,20.0,0.0,0,9,train
667.3742314134211,667.6244354024961,-40.0,-10.0,90.0,2,7,train
667.6244354024961,667.8746393915712,40.0,-20.0,45.0,1,10,train
667.8746393915712,668.1248433806463,-20.0,-20.0,45.0,1,10,train
668.1248433806463,668.3750568915713,0.0,-30.0,45.0,1,12,train
668.3750568915713,668.6252704024963,-30.0,20.0,45.0,1,10,train
668.6252704024963,668.875483913421,10.0,-40.0,90.0,2,6,train
668.875483913421,669.125697424346,-40.0,20.0,0.0,0,10,train
669.125697424346,669.375901413421,20.0,40.0,45.0,1,6,train
669.375901413421,669.6261054024961,-30.0,-20.0,90.0,2,7,train
669.6261054024961,669.8763093915712,20.0,10.0,90.0,2,13,train
669.8763093915712,670.1265133806463,-20.0,20.0,45.0,1,9,train
670.1265133806463,670.3767293915713,0.0,10.0,45.0,1,13,train
670.3767293915713,670.6269454024963,30.0,-10.0,45.0,1,9,train
670.6269454024963,670.877161413421,-40.0,20.0,90.0,2,12,train
670.877161413421,671.1273774243458,20.0,10.0,45.0,1,6,train
671.1273774243458,671.3775839134211,-40.0,-10.0,90.0,2,8,test
671.3775839134211,671.6277904024963,30.0,-10.0,90.0,2,8,test
671.6277904024963,671.8779968915712,-10.0,10.0,45.0,1,9,train
671.8779968915712,672.1282033806465,-10.0,-30.0,0.0,0,8,test
672.1282033806465,672.3784218915713,40.0,-20.0,90.0,2,10,train
672.3784218915713,672.6286404024962,0.0,-40.0,90.0,2,8,test
672.6286404024962,672.878858913421,10.0,40.0,90.0,2,10,train
672.878858913421,673.1290774243461,-20.0,-40.0,0.0,0,8,test
