stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,stimulus_name,size,spatial_frequency,color,y_position,orientation,x_position,temporal_frequency,frame,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
66,0.0,100.86124,101.11143,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,30.0,4.0,null,0.8,0.25019512,18,,,0,,False,1,train,1
67,0.0,101.11143,101.36163,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,0.0,45.0,-40.0,4.0,null,0.8,0.25019512,56,,,0,,False,0,train,1
68,0.0,101.36163,101.61182,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,45.0,30.0,4.0,null,0.8,0.25019512,57,,,0,,False,0,train,1
69,0.0,101.61182,101.86205,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,90.0,30.0,4.0,null,0.8,0.25022488,27,,,0,,False,1,train,2
70,0.0,101.86205,102.11227,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,90.0,-20.0,4.0,null,0.8,0.25022488,58,,,0,,False,0,train,2
71,0.0,102.11227,102.3625,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,45.0,10.0,4.0,null,0.8,0.25022488,59,,,0,,False,0,train,1
72,0.0,102.3625,102.61272,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-30.0,0.0,10.0,4.0,null,0.8,0.25022488,60,,,0,,False,0,train,0
73,0.0,102.61272,102.86292,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,90.0,-30.0,4.0,null,0.8,0.25019762,61,,,0,,False,0,train,2
74,0.0,102.86292,103.11312,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,45.0,-40.0,4.0,null,0.8,0.25019762,62,,,0,,False,0,train,1
75,0.0,103.11312,103.36331,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-10.0,45.0,10.0,4.0,null,0.8,0.25019762,63,,,0,,False,0,train,1
76,0.0,103.36331,103.61351,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,40.0,90.0,-30.0,4.0,null,0.8,0.25019762,64,,,0,,False,0,train,2
77,0.0,103.61351,103.86372,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,30.0,90.0,40.0,4.0,null,0.8,0.25020738,65,,,0,,False,0,train,2
78,0.0,103.86372,104.11393,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,10.0,45.0,20.0,4.0,null,0.8,0.25020738,66,,,0,,False,0,train,1
79,0.0,104.11393,104.36413,"[3644.93333333, 3644.93333333]",gabors,"[20.0, 20.0]",0.08,null,-20.0,90.0,-10.0,4.0,null,0.8,0.25020738,67,,,0,,False,0,train,2
