unit_id,autocorr_tau,err_ac,spike_count_ac
9000419,488.90671762713504,254.42307856120217,1324.0
9000420,34.75850155191481,4.558127416862566,1062.0
9000421,999.9999999999999,1581.9940597645655,977.0
9000422,63.10559302248825,6.119915701033339,1543.0
9000423,25.224930595959307,2.0753667029233367,356.0
9000424,999.9999999986122,3319.4193608109913,84.0
9000425,58.026734644228554,16.877198928673646,1011.0
9000426,34.52197409677895,3.564501676278199,278.0
9000427,35.26863519028317,6.676559827791671,83.0
9000428,90.06939138550919,27.44862322632108,265.0
9000429,55.04086495133292,11.600385372030773,116.0
9000430,246.02960142399712,107.70149616654174,586.0
9000431,72.87727887448669,9.389441097047357,997.0
9000432,67.40471132158662,9.390145861280223,1691.0
9000433,13.13209025792447,2.4950357242223324,22.0
9000434,33.17349331924602,2.9372264444625484,456.0
9000435,56.062269323954894,15.047111223314621,182.0
9000436,90.50730231364632,16.626144394752934,189.0
9000437,25.96048066779272,2.7933145746198336,149.0
9000438,4.8239938628906485,6.380795604739784,1.0
9000439,304.78987650678766,324.33857294600944,51.0
