stimulus_presentation_id,stimulus_block,start_time,stop_time,contrast,spatial_frequency,color,coherence,Speed,y_position,frame,temporal_frequency,orientation,Dir,phase,x_position,stimulus_name,size,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
3435,0.0,927.85955,928.10974,0.8,0.08,null,null,null,10.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-30.0,gabors,"[20.0, 20.0]",0.25019017,45,,,0,,False,14,test,1
3436,0.0,928.10974,928.35993,0.8,0.08,null,null,null,0.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25019017,39,,,0,,False,13,train,0
3437,0.0,928.35993,928.61016,0.8,0.08,null,null,null,30.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",-10.0,gabors,"[20.0, 20.0]",0.25022983,152,,,0,,False,14,test,0
3438,0.0,928.61016,928.86039,0.8,0.08,null,null,null,-40.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25022983,234,,,0,,False,14,test,2
3439,0.0,928.86039,929.11062,0.8,0.08,null,null,null,30.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",30.0,gabors,"[20.0, 20.0]",0.25022983,199,,,0,,False,12,train,0
3440,0.0,929.11062,929.36085,0.8,0.08,null,null,null,40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",-20.0,gabors,"[20.0, 20.0]",0.25022983,174,,,0,,False,13,train,1
3441,0.0,929.36085,929.61104,0.8,0.08,null,null,null,-30.0,null,4.0,90.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25019017,235,,,0,,False,14,test,2
3442,0.0,929.61104,929.86123,0.8,0.08,null,null,null,30.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",20.0,gabors,"[20.0, 20.0]",0.25019017,158,,,0,,False,14,test,1
3443,0.0,929.86123,930.11142,0.8,0.08,null,null,null,-30.0,null,4.0,0.0,null,"[3644.93333333, 3644.93333333]",10.0,gabors,"[20.0, 20.0]",0.25019017,207,,,0,,False,12,train,0
3444,0.0,930.11142,930.36161,0.8,0.08,null,null,null,40.0,null,4.0,45.0,null,"[3644.93333333, 3644.93333333]",0.0,gabors,"[20.0, 20.0]",0.25019017,58,,,0,,False,14,test,1
