unit_id,cortical_depth,cortical_layer,ecephys_structure_acronym
4000742,483.95,,V1_site4_B
4000743,580.28,,V1_site4_B
4000744,558.01,,V1_site4_B
4000745,560.08,,V1_site4_B
4000746,562.77,,V1_site4_B
4000747,601.15,,V1_site4_B
4000748,591.22,,V1_site4_B
4000749,624.75,,V1_site4_B
4000750,614.04,,V1_site4_B
4000751,612.12,,V1_site4_B
4000752,603.47,,V1_site4_B
4000753,642.05,,V1_site4_B
4000754,661.84,,V1_site4_B
4000755,681.45,,V1_site4_B
4000756,667.91,,V1_site4_B
4000757,644.25,,V1_site4_B
4000758,698.01,,V1_site4_B
4000759,706.81,,V1_site4_B
4000760,689.0,,V1_site4_B
4000761,717.62,,V1_site4_B
4000762,730.62,,V1_site4_B
4000763,750.13,,V1_site4_B
4000764,729.74,,V1_site4_B
4000765,763.84,,V1_site4_B
4000766,761.99,,V1_site4_B
4000767,801.72,,V1_site4_B
4000768,1642.69,,V1_site4_B
4000769,2561.96,,V1_site4_B
4000770,2548.6,,V1_site4_B
4000771,2532.84,,V1_site4_B
4000772,2400.36,,V1_site4_B
4000773,1685.4,,V1_site4_B
4000774,1113.34,,V1_site4_B
4000775,1111.32,,V1_site4_B
4000776,1161.34,,V1_site4_B
4000777,1792.48,,V1_site4_B
4000778,1196.0,,V1_site4_B
4000779,1206.59,,V1_site4_B
4000780,1227.49,,V1_site4_B
4000781,1271.55,,V1_site4_B
4000782,1268.22,,V1_site4_B
4000783,1307.75,,V1_site4_B
4000784,1306.32,,V1_site4_B
4000785,1359.56,,V1_site4_B
