stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,size,orientation,spatial_frequency,y_position,stimulus_name,frame,temporal_frequency,color,contrast,x_position,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1017,0.0,344.09239,344.3426,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,20.0,gabors,null,4.0,null,0.8,40.0,0.25020893,211,,,0,,False,2,test,0
1018,0.0,344.3426,344.59281,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,0.0,gabors,null,4.0,null,0.8,-40.0,0.25020893,192,,,0,,False,5,test,2
1019,0.0,344.59281,344.84301,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,10.0,gabors,null,4.0,null,0.8,-30.0,0.25020893,92,,,0,,False,2,test,2
1020,0.0,344.84301,345.09322,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,0.0,gabors,null,4.0,null,0.8,10.0,0.25020893,100,,,0,,False,8,test,1
1021,0.0,345.09322,345.34343,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,10.0,gabors,null,4.0,null,0.8,0.0,0.25020857,89,,,0,,False,6,train,0
1022,0.0,345.34343,345.59364,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",45.0,0.08,-20.0,gabors,null,4.0,null,0.8,0.0,0.25020857,139,,,0,,False,5,test,1
1023,0.0,345.59364,345.84385,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,0.0,gabors,null,4.0,null,0.8,-10.0,0.25020857,22,,,0,,False,4,train,2
1024,0.0,345.84385,346.09406,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-20.0,gabors,null,4.0,null,0.8,20.0,0.25020857,14,,,0,,False,9,train,2
1025,0.0,346.09406,346.34427,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",0.0,0.08,-20.0,gabors,null,4.0,null,0.8,40.0,0.25021143,210,,,0,,False,4,train,0
1026,0.0,346.34427,346.59448,"[3644.93333333, 3644.93333333]","[20.0, 20.0]",90.0,0.08,-30.0,gabors,null,4.0,null,0.8,0.0,0.25021143,165,,,0,,False,3,train,2
