stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,size,x_position,spatial_frequency,color,temporal_frequency,contrast,stimulus_name,orientation,phase,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1873,0.0,553.25047,553.50067,-40.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501976,100,,,0,,False,6,train,1
1874,0.0,553.50067,553.75087,-20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2501976,149,,,0,,False,8,test,2
1875,0.0,553.75087,554.00107,10.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501976,79,,,0,,False,9,train,1
1876,0.0,554.00107,554.25126,30.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501976,199,,,0,,False,6,train,1
1877,0.0,554.25126,554.50148,10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502174,225,,,0,,False,8,test,1
1878,0.0,554.50148,554.7517,0.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502174,127,,,0,,False,10,train,0
1879,0.0,554.7517,555.00192,-40.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502174,28,,,0,,False,8,test,1
1880,0.0,555.00192,555.25213,20.0,"[20.0, 20.0]",40.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502174,185,,,0,,False,7,train,1
1881,0.0,555.25213,555.50233,-40.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501976,82,,,0,,False,5,test,0
1882,0.0,555.50233,555.75253,0.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501976,169,,,0,,False,6,train,0
1883,0.0,555.75253,556.00273,30.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501976,188,,,0,,False,8,test,1
1884,0.0,556.00273,556.25292,30.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2501976,60,,,0,,False,10,train,2
1885,0.0,556.25292,556.50315,10.0,"[20.0, 20.0]",0.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502249,26,,,0,,False,7,train,2
1886,0.0,556.50315,556.75337,-40.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502249,184,,,0,,False,5,test,2
1887,0.0,556.75337,557.0036,-10.0,"[20.0, 20.0]",-20.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502249,15,,,0,,False,9,train,1
1888,0.0,557.0036,557.25382,30.0,"[20.0, 20.0]",30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502249,18,,,0,,False,9,train,0
1889,0.0,557.25382,557.50402,-10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2501951,9,,,0,,False,9,train,1
1890,0.0,557.50402,557.75421,30.0,"[20.0, 20.0]",20.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,61,,,0,,False,6,train,0
1891,0.0,557.75421,558.00441,10.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,51,,,0,,False,6,train,0
1892,0.0,558.00441,558.2546,-10.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2501951,237,,,0,,False,8,test,0
1893,0.0,558.2546,558.50482,-10.0,"[20.0, 20.0]",10.0,0.08,null,4.0,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",null,0.2502199,49,,,0,,False,8,test,1
1894,0.0,558.50482,558.75504,30.0,"[20.0, 20.0]",-30.0,0.08,null,4.0,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",null,0.2502199,157,,,0,,False,11,test,2
1895,0.0,558.75504,559.00526,0.0,"[20.0, 20.0]",-10.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502199,116,,,0,,False,5,test,0
1896,0.0,559.00526,559.25548,-20.0,"[20.0, 20.0]",-40.0,0.08,null,4.0,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",null,0.2502199,85,,,0,,False,10,train,0
