stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,stimulus_name,x_position,temporal_frequency,color,size,spatial_frequency,phase,orientation,contrast,frame,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2976,0.0,835.90075,836.15096,-20.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020244,76,,,0,,False,12,train,0
2977,0.0,836.15096,836.40117,-30.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021506,183,,,0,,False,13,train,2
2978,0.0,836.40117,836.65139,-30.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021506,131,,,0,,False,10,train,2
2979,0.0,836.65139,836.9016,-30.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021506,131,,,0,,False,11,test,2
2980,0.0,836.9016,837.15182,40.0,gabors,-40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25021506,192,,,0,,False,13,train,2
2981,0.0,837.15182,837.40203,10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,185,,,0,,False,13,train,1
2982,0.0,837.40203,837.65225,-30.0,gabors,40.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021494,134,,,0,,False,12,train,0
2983,0.0,837.65225,837.90246,40.0,gabors,10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021494,149,,,0,,False,12,train,1
2984,0.0,837.90246,838.15268,20.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25021494,46,,,0,,False,14,test,0
2985,0.0,838.15268,838.40288,0.0,gabors,20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",90.0,0.8,null,0.25020256,190,,,0,,False,11,test,2
2986,0.0,838.40288,838.65308,-30.0,gabors,-10.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",0.0,0.8,null,0.25020256,221,,,0,,False,10,train,0
2987,0.0,838.65308,838.90328,0.0,gabors,-20.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,35,,,0,,False,9,train,1
2988,0.0,838.90328,839.15349,10.0,gabors,30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25020256,185,,,0,,False,14,test,1
2989,0.0,839.15349,839.4037,30.0,gabors,-30.0,4.0,null,"[20.0, 20.0]",0.08,"[3644.93333333, 3644.93333333]",45.0,0.8,null,0.25021244,197,,,0,,False,13,train,1
