site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,delta_azimuth_deg,delta_elevation_deg,fit_residual_deg
site5,E,5002832,334.26316284221735,131.0792198077956,36.72742129538531,-5.2349617151242445,28.391276469726563,1.2638137810363776,6.656150071389359,4.694597072283456,-6.760707263833632,3.6509558051322593
site5,E,5002848,336.6601916181139,129.15817637019015,36.614602821196634,-6.248110021663012,22.213436469726563,3.5681457810363773,7.093738401712536,4.694597072283456,-6.760707263833632,10.176141903738076
site5,E,5002849,337.5857554246761,128.41640460067262,36.517218536634545,-6.628628313172655,17.591046469726564,7.332165781036377,7.414921113836751,4.694597072283456,-6.760707263833632,15.949262590871317
site5,E,5002850,339.1544953352492,127.15917417406288,36.28485865874098,-7.229739403655491,21.517116469726563,5.2176747810363775,6.939662938682829,4.694597072283456,-6.760707263833632,11.56749273379749
site5,E,5002862,339.60166969198826,126.80079659757442,36.20472182637323,-7.3748099539478105,31.340206469726564,26.313019781036374,7.6349720454405,4.694597072283456,-6.760707263833632,26.927658583688668
site5,E,5002865,340.4089065177899,126.15385525819912,36.05477492192516,-7.601431095086465,20.652726469726563,7.598070781036377,7.191292930187668,4.694597072283456,-6.760707263833632,13.633149656687849
site5,E,5002869,340.63684929054324,125.97117577927477,36.01098021147861,-7.656720119062026,19.92005646972656,8.025516781036378,9.233054122067095,4.694597072283456,-6.760707263833632,14.47307681897639
site5,E,5002871,343.4788746259869,123.69350011052094,35.44957562959129,-7.948916375665871,18.663816469726562,8.751499781036378,8.815063439282135,4.694597072283456,-6.760707263833632,15.652284609702637
site5,E,5002876,345.3829953041144,122.16748650154486,35.070184681453995,-7.966465263218474,19.79870646972656,6.419392781036377,7.245092056727532,4.694597072283456,-6.760707263833632,13.038916330051514
site5,E,5002881,343.8215147175143,123.41889911035443,35.381454669100734,-7.955621136686018,25.959396469726563,2.4773337810363776,7.763666638871397,4.694597072283456,-6.760707263833632,5.986175034163746
site5,E,5002886,348.0936268756461,119.99511333497347,34.480951596755844,-7.967567062557528,34.32006646972656,1.6484897810363774,7.196032302834008,4.694597072283456,-6.760707263833632,5.357944122998818
site5,E,5002894,346.7339554954964,121.08479060893924,34.79008262648861,-7.967384198037947,26.122296469726564,8.033921781036378,6.795003107400419,4.694597072283456,-6.760707263833632,10.058573264490734
site5,E,5002896,346.1444983888859,121.5571974143104,34.91481913450967,-7.967199491638768,28.21028646972656,11.248499781036378,7.379440903137785,4.694597072283456,-6.760707263833632,12.616127259436743
site5,E,5002907,349.18905886317737,119.11720462893268,34.225156543862326,-7.968557829315523,29.982786469726562,15.449499781036378,7.700975960028347,4.694597072283456,-6.760707263833632,16.66348792493654
site5,E,5002910,347.53611079451696,120.44192174202402,34.610233728172226,-7.967477885242159,29.26387646972656,9.670779781036378,7.133133153597765,4.694597072283456,-6.760707263833632,10.897058965518886
site5,E,5002912,349.80755326568,118.62152655236096,34.091447308006096,-7.970600942485663,10.81654646972656,8.062117781036378,7.551994320869234,4.694597072283456,-6.760707263833632,20.765304826688222
