group,model,azimuth_deg,elevation_deg,halfmax_area_deg2,effective_local_units
V1,allen,67.5,-21.25,6173.8271,28.522499
V1,allen,68.75,-21.25,7438.2212,24.957658
V1,allen,70,-21.25,9150.2998,21.647112
V1,allen,71.25,-21.25,11466.914,18.69406
V1,allen,72.5,-21.25,14592.756,16.13612
V1,allen,73.75,-21.25,18785.604,13.965981
V1,allen,75,-21.25,24355.153,12.150573
V1,allen,76.25,-21.25,31651.257,10.645375
V1,allen,77.5,-21.25,41038.286,9.4035726
V1,allen,78.75,-21.25,52855.301,8.3811476
V1,allen,80,-21.25,67366.739,7.5392118
V1,allen,81.25,-21.25,84713.464,6.8446936
V1,allen,82.5,-21.25,104876.84,6.2701362
V1,allen,83.75,-21.25,127666.72,5.7930895
V1,allen,85,-21.25,152738.04,5.395368
V1,allen,86.25,-21.25,179632.39,5.0623171
V1,allen,87.5,-21.25,207834.32,4.7821539
V1,allen,88.75,-21.25,236829.51,4.5454044
V1,allen,90,-21.25,266153.92,4.3444381
V1,allen,10,-20,36459.135,4.0644219
V1,allen,11.25,-20,35296.748,4.1700918
V1,allen,12.5,-20,34032.697,4.2820252
V1,allen,13.75,-20,32676.903,4.4014865
V1,allen,15,-20,31241.053,4.5299102
V1,allen,16.25,-20,29738.38,4.6689169
V1,allen,17.5,-20,28183.365,4.8203332
V1,allen,18.75,-20,26591.402,4.9862161
V1,allen,20,-20,24978.403,5.1688838
V1,allen,21.25,-20,23360.39,5.3709517
V1,allen,22.5,-20,21753.071,5.5953766
V1,allen,23.75,-20,20171.429,5.8455081
V1,allen,25,-20,18629.346,6.1251485
V1,allen,26.25,-20,17139.272,6.4386221
V1,allen,27.5,-20,15711.965,6.7908528
V1,allen,28.75,-20,14356.302,7.1874508
V1,allen,30,-20,13079.183,7.634807
V1,allen,31.25,-20,11885.508,8.1401918
V1,allen,32.5,-20,10778.241,8.7118541
V1,allen,33.75,-20,9758.5389,9.3591144
V1,allen,35,-20,8825.9374,10.092439
V1,allen,36.25,-20,7978.5784,10.923478
V1,allen,37.5,-20,7213.4601,11.865051
V1,allen,38.75,-20,6526.6967,12.931033
V1,allen,40,-20,5913.7725,14.136113
V1,allen,41.25,-20,5369.7803,15.495364
V1,allen,42.5,-20,4889.6357,17.023556
V1,allen,43.75,-20,4468.2636,18.734141
V1,allen,45,-20,4100.7547,20.637836
V1,allen,46.25,-20,3782.4936,22.740729
V1,allen,47.5,-20,3509.2619,25.041869
V1,allen,48.75,-20,3277.3214,27.530334
V1,allen,50,-20,3083.4845,30.181847
V1,allen,51.25,-20,2925.1786,32.955085
V1,allen,52.5,-20,2800.5143,35.787964
V1,allen,53.75,-20,2708.368,38.59435
V1,allen,55,-20,2648.4918,41.261938
V1,allen,56.25,-20,2621.6675,43.652473
V1,allen,57.5,-20,2629.9266,45.606076
V1,allen,58.75,-20,2676.8678,46.951924
V1,allen,60,-20,2768.1134,47.527272
V1,allen,61.25,-20,2911.9669,47.204876
V1,allen,62.5,-20,3120.3549,45.924621
V1,allen,63.75,-20,3410.1737,43.719736
V1,allen,65,-20,3805.1994,40.725286
V1,allen,66.25,-20,4338.7714,37.160756
V1,allen,67.5,-20,5057.4981,33.289673
V1,allen,68.75,-20,6026.2449,29.370505
V1,allen,70,-20,7334.5916,25.61627
V1,allen,71.25,-20,9104.7132,22.173664
V1,allen,72.5,-20,11500.134,19.122063
V1,allen,73.75,-20,14733.965,16.485647
V1,allen,75,-20,19074.058,14.250419
V1,allen,76.25,-20,24841.378,12.380233
V1,allen,77.5,-20,32397.333,10.829082
V1,allen,78.75,-20,42116.896,9.549209
V1,allen,80,-20,54347.564,8.4957589
V1,allen,81.25,-20,69359.313,7.6289888
V1,allen,82.5,-20,87295.786,6.9149565
V1,allen,83.75,-20,108139.42,6.3253565
