site,probe,unit_id,inferred_row,inferred_col,predicted_azimuth_deg,predicted_elevation_deg,observed_azimuth_deg,observed_elevation_deg,log2_rf_area,rf_area_deg2
site2,E,2002607,205.10304337454923,243.5520050454106,27.6076243894298,2.9746164943498306,16.516856469726562,6.685669781036378,9.259841047750712,613.0415497790372
site2,E,2002611,205.36703695870915,242.41881853519257,27.50302482878618,2.490704275746596,23.78442646972656,6.913565781036377,9.685295429737488,823.311992034966
site2,E,2002614,205.3920070702086,242.3116348943483,27.49292977776745,2.444974785556056,12.247316469726563,10.490979781036378,9.265079169264661,615.2714200366332
site2,E,2002615,205.5466660458877,241.64776472689172,27.435639479041075,2.1619696288290062,35.42986646972656,-2.1260634189636227,7.438138859009109,173.42148808638242
site2,E,2002617,205.37443345053416,242.38706926073314,27.50004451645176,2.477158373617567,30.25591646972656,2.4012157810363775,11.111186064992232,2212.0772686863415
site2,E,2002619,205.65227460209576,241.19444237953465,27.398599465826372,1.9689247132087766,25.36412646972656,10.199899781036377,9.075315154725473,539.4386771677465
site2,E,2002628,205.63842703469408,241.25388275051512,27.403570513891797,1.994232090695933,18.46741646972656,2.2328087810363773,9.581087379682952,765.9398975438274
site2,E,2002647,206.26179001865205,238.57811119099676,27.283301682960683,0.8614197115652498,24.479396469726563,5.711150781036378,9.337521222982959,646.9548504399758
site3,A,3000306,189.64307089419123,123.0265239242256,16.402749397030544,-36.288089752197266,10.66808646972656,-24.834810218963625,7.7284859379298405,212.08311248611707
site3,A,3000310,189.4466233625784,122.93581450830243,16.312766660122026,-36.288089752197266,7.85551646972656,-22.567320218963623,7.325872329864278,160.43802815408938
site3,A,3000321,189.74495342491304,123.0735680625697,16.449739961394812,-36.288089752197266,20.34046646972656,-25.40773021896362,8.503938123808402,363.0282787684727
site3,A,3000331,190.16261551218153,123.26642303854389,16.644171685110777,-36.288089752197266,9.838786469726564,-20.87086021896362,8.961592433480051,498.5493236272633
site3,A,3000350,196.36844369565182,126.13195687966966,19.306383302708994,-36.288089752197266,23.60050646972656,-21.79226021896362,8.108841005833053,276.06056520765003
site3,A,3000352,194.57902620855413,125.30569546643258,18.650525541270643,-36.288089752197266,17.175606469726564,-22.308970218963623,8.565766320622759,378.9244233361864
site3,A,3000353,195.8342640179998,125.88530004382127,19.113791418253996,-36.288089752197266,15.568576469726565,-22.045590218963625,8.148411745422942,283.7372481602778
site3,A,3000357,196.67183974017703,126.27204964523581,19.416128590098328,-36.28808975219726,20.15081646972656,-25.08784021896362,7.752927681492931,215.70677526861388
site3,A,3000366,197.0000028087451,126.4235785549298,19.53570509848992,-36.288089752197266,9.199486469726565,-18.107210218963623,9.39768080717228,674.5028866273811
site3,A,3000368,200.39533665025922,127.99136994991127,21.14132182131378,-36.288089752197266,14.978946469726559,-32.587720218963625,7.573048534636012,190.42096755866515
site3,A,3000370,200.24504584527176,127.92197334804455,21.052200734122977,-36.288089752197266,17.197106469726563,-25.42593021896362,8.10943932069358,276.1750768601689
site3,A,3000379,201.06967516851748,128.3027449650286,21.544471406463785,-36.288089752197266,22.81249646972656,-26.29009021896362,8.813270004699238,449.8405808728589
site3,A,3000391,201.4282341302291,128.46830914251586,21.777057990926192,-36.288089752197266,18.833166469726564,-21.41075021896362,10.037273453936079,1050.800774748393
site3,A,3000393,204.3524316280185,129.81855388670166,23.68273953706035,-36.288089752197266,27.712396469726563,-21.066900218963625,7.606451151024798,194.88120531280217
site3,A,3000394,205.10275987913562,130.1650170713022,24.12806567582279,-36.28808975219726,29.194486469726563,-25.744460218963624,9.898620093722695,954.5123763487809
site3,A,3000397,203.29195268945543,129.32887898813652,23.006861878096075,-36.288089752197266,29.092366469726564,-26.365680218963625,9.967703708872778,1001.3313289124945
site3,A,3000400,204.25730374021745,129.77462869675605,23.625930088959993,-36.288089752197266,22.960886469726564,-9.045001218963623,9.63943244947753,797.5507145532313
site3,A,3000401,205.24685892811232,130.23155463713695,24.20263220020856,-36.288089752197266,19.934276469726562,-30.946000218963626,7.9853675083209,253.41665050838031
site3,A,3000402,205.44105491208487,130.32122440359393,24.304035780311636,-36.28808975219726,21.953966469726563,-36.375280218963624,8.289669614524387,312.9242414290816
site3,A,3000407,207.05485168324216,131.0663931584699,25.095555009348317,-36.288089752197266,17.72737646972656,-27.347560218963622,9.366851075132459,660.2419861161763
site3,A,3000409,206.7570845078176,130.92889951656917,24.955458757877135,-36.288089752197266,28.887786469726564,-29.016620218963624,8.584505332380497,383.87833545844296
site3,A,3000412,206.0512243225957,130.6029694089255,24.625566322988934,-36.288089752197266,19.25685646972656,-21.75022021896362,8.769093139323882,436.27474134352445
site3,A,3000415,207.72693865386017,131.3767285241211,25.404626167347793,-36.288089752197266,21.350186469726562,-16.851590218963622,8.890241076068992,474.49236930678535
site3,A,3000421,208.6551391685579,131.80532401654887,25.859175841661852,-36.288089752197266,43.64997946972656,-23.49875021896362,8.403472498110743,338.6080585319206
site3,A,3000422,207.5935344561747,131.31512929325064,25.34358204626262,-36.288089752197266,14.08167646972656,-24.366030218963623,8.261501371100035,306.8737369116442
site3,A,3000425,207.92338618547296,131.46743794004425,25.49424386890552,-36.288089752197266,28.96425646972656,-6.250823218963623,8.675952303051266,408.9986590915051
site3,A,3000426,208.41422357104994,131.6940815236689,25.739289619694887,-36.288089752197266,25.943256469726563,-23.24720021896362,9.6962623416511,829.5943978709108
site3,A,3000427,207.30983945350175,131.18413346051344,25.213265846688437,-36.288089752197266,46.11081546972656,-25.07264021896362,8.342823456032738,324.66846580680493
site3,A,3000439,211.00856933954105,132.89201762106106,27.284093086593526,-36.288089752197266,19.30677646972656,-33.68326021896362,7.934146944924894,244.5773417384497
site3,A,3000446,208.10463577051402,131.55112972207078,25.58268378151102,-36.288089752197266,34.656776469726566,-19.71351021896362,8.860626813700444,464.85172971399516
site3,A,3000455,212.65163623002178,133.65070181899722,28.47790368570568,-36.288089752197266,24.160516469726563,-29.37169021896362,9.54450731598458,746.7633511224086
site3,A,3000461,215.91919474295105,135.15949310677365,30.538166269261776,-36.28807696391145,29.133696469726562,-33.25795021896362,9.408579442883275,679.617618254221
site3,A,3000464,215.00000041881435,134.73505621221054,30.039751366401696,-36.28808414416459,40.28253446972656,-26.070710218963626,9.822900904634663,905.7071927233184
site3,A,3000466,214.61160845086926,134.55571667929652,29.7971254233477,-36.28808468906776,28.79317646972656,-26.061210218963623,6.839125720582263,114.4938043118369
site3,A,3000471,217.6393771401107,135.95378529892605,31.4079728641781,-36.28802790821702,25.373276469726562,-34.10788021896362,7.3687111279275275,165.27344468098389
site3,A,3000472,217.2059542193604,135.7536527766887,31.18853759927385,-36.28804371822727,26.144726469726564,-34.73974021896362,9.185003031517555,582.051513353325
site3,A,3000473,217.04440567617164,135.67905792749116,31.10622011955268,-36.288049272442954,26.82120646972656,-30.20236021896362,9.819999714090052,903.8876890712526
site3,A,3000476,219.3314151917671,136.73508187275138,32.378641741322475,-36.28757569032318,21.432356469726564,-20.335540218963622,8.680853547852243,410.390506610197
site3,A,3000478,220.48364469667084,137.2671224870629,33.16427432044885,-36.28633892201698,25.98357646972656,-29.24718021896362,7.497503562536549,180.70637123511727
site3,A,3000482,222.29163745180068,138.10196100839588,34.515793180509874,-36.28041662646513,25.50260646972656,-28.952730218963623,7.316994947770017,159.45383079433125
site3,A,3000489,222.85396147495595,138.36161346257134,34.94125331866238,-36.27506087711335,23.27298646972656,-21.21134021896362,11.693249242693952,3311.454322255595
site3,A,3000492,221.28969875188437,137.63931699595108,33.75708380499742,-36.28456748199814,35.67607646972656,-32.99722021896362,7.758735180853077,216.57684252904164
site3,A,3000505,226.4024005560078,140.00010102125222,37.38340302582988,-36.14400699869385,21.394166469726564,-31.902770218963624,8.77986145779182,439.5432920250741
site3,A,3000508,225.6216764117472,139.63960256885846,36.862467061556195,-36.19462978240587,33.082386469726565,-33.057050218963624,9.515873730290577,732.0882352934807
site3,A,3000521,228.93764319894206,141.1707463201575,39.205402232600115,-35.77874695963679,40.11711346972656,-37.54582021896362,9.12830008646342,559.618593268408
site3,B,3000668,275.21476374004504,131.57700407088484,52.00739308370143,-14.789677305534754,66.00406646972657,-17.29390021896362,10.83160587295115,1822.3771820177274
site3,B,3000670,275.21280815620275,131.0000002427471,51.60101859453153,-14.701788878014787,60.18066646972656,-15.735880218963622,11.836231583503189,3656.459288202808
site3,B,3000671,275.21061003413007,130.35143441639303,51.13744191939897,-14.596771286342921,65.86000646972656,37.60578978103638,12.646176529119836,6410.301636749499
site3,B,3000679,275.22525017644915,134.6710744032133,53.95488758817676,-15.233985422468246,11.68706646972656,-8.039179218963621,9.580971783773633,765.8785290845117
site3,B,3000761,275.3073274053286,158.88833077597127,66.99704164676223,-18.761781192432522,66.19179646972657,-18.685410218963625,8.208746089888065,295.8549226937445
site3,B,3000763,275.30609752642783,158.52544946218148,66.852332921848,-18.73559012560523,72.65846646972656,10.667009781036377,7.292278521987445,156.74531604460336
site3,B,3000765,275.308698605718,159.2929096320288,67.16180671798843,-18.790399724630806,69.07849646972656,21.24822978103638,10.131398350431429,1121.643390441013
site3,B,3000782,275.3170556710439,161.75869942883617,68.18309993180904,-18.95708449697441,57.685538469726566,4.316858781036378,7.118907455722216,138.9967611251122
site3,B,3000785,275.3222100858781,163.27953276100786,68.80879568509278,-19.05199472753065,55.735946469726564,9.048399781036377,8.872110090227883,468.56652843450115
site3,B,3000793,275.3268660560026,164.6532977346405,69.35854576120423,-19.13304591729037,81.53586646972656,-1.7244604189636226,8.689668391311486,412.90566194922326
site3,B,3000797,275.3293888355491,165.39765521215023,69.64428465128843,-19.169734582390234,86.95429646972656,6.7426657810363775,6.727352765091862,105.95829801545607
site3,B,3000801,275.33897005052626,168.22463588184462,70.59074926345681,-19.18369770151764,49.47050346972656,-14.228780218963623,8.126003529920975,279.3642360610046
site3,B,3000803,275.3358227827801,167.29602034593543,70.30877553401929,-19.207204219446233,73.95179646972656,-4.767041218963623,7.651346276566063,201.04104658766562
site3,B,3000805,275.33953915598033,168.39255301151752,70.6374077982857,-19.17533271871783,76.58880646972656,-4.062474218963622,10.171997140105123,1153.6558030546648
site3,B,3000809,275.33590299227365,167.31968651857392,70.31615611213822,-19.20678929141655,67.95109646972656,0.7648187810363773,8.273858523483282,309.513499378195
site3,B,3000810,275.33430071215287,166.84692654610558,70.16343634364625,-19.209813406401594,79.19093646972657,4.192565781036377,9.141664174549478,564.8265812632981
site3,B,3000819,275.3487708867357,171.11641678614436,71.3072676881773,-19.009971612758747,74.07946646972655,0.5053907810363776,8.517443513707612,366.44262370440873
site3,B,3000824,275.35022993561796,171.546915736044,71.39723755832718,-18.990811394831034,67.61495646972656,-2.3475580189636225,7.255805994332073,152.83233451464602
site3,B,3000828,275.34764795382625,170.78509036920588,71.23410080042092,-19.028669911970777,78.37359646972656,3.661214781036377,8.523577925675603,368.0040735235106
site3,B,3000834,275.3580675489858,173.85943889100233,71.8438339627879,-18.92471412260967,68.24917646972656,-5.792912218963623,8.146367436759434,283.3354752787841
site3,B,3000838,275.35865193243865,174.03186386308255,71.87529368162718,-18.920776049939153,71.24198646972656,2.4534947810363774,8.574309570178112,381.174968194433
site3,B,3000843,275.36514890141456,175.948823846798,72.21170966656554,-18.858805550756767,81.78753646972656,-22.870470218963625,7.4743062160890075,177.82399701722616
site3,B,3000846,275.3694878530646,177.22905109047863,72.43224925521427,-18.795479602594934,64.66644646972657,-0.5540715189636225,9.71416298888041,839.9519495144573
site3,B,3000850,275.37149309040285,177.8207054064402,72.53478557454568,-18.760073565201505,79.75855646972656,0.2407477810363774,8.849341517259672,461.2296718439976
site3,B,3000857,275.3704809229845,177.52206084695482,72.48302537931859,-18.777941120290183,75.64697646972657,5.369898781036378,9.362597073332719,658.2980314394349
site3,B,3000862,275.37687476546876,179.40859289442082,72.8177675822027,-18.6386047619628,65.85628646972657,-2.8557082189636223,8.817086247791696,451.0320825335739
site3,B,3000866,275.37313929477006,178.30642542582956,72.62031730835832,-18.726536987516976,82.73690646972656,-0.9734898189636225,9.241264685686636,605.1985352832245
