ecephys_unit_id,group,ecephys_structure_acronym,unit_split,spatial_model,rotation_test_gain,rotation_train_gain,axis_test_poisson_deviance,axis_train_poisson_deviance,axis_area_deg2,rotation_log2_area_ratio,parameter_baseline,parameter_amplitude_0,parameter_amplitude_45,parameter_amplitude_90,success,optimizer_nfev,best_train_anscombe_mse,second_best_train_anscombe_mse,multistart_mse_gap,train_poisson_deviance,test_poisson_deviance,baseline_spikes,mean_amplitude_spikes,center_x_deg,center_y_deg,sigma_major_deg,sigma_minor_deg,major_axis_angle_deg,axis_ratio,latent_halfmax_area_deg2,sigma_lower_bound,sigma_upper_bound
951869321,HVA,VISal,evaluation,aperture,0.00558941514,0.00833886968,1.40968996,1.51644663,1418.01449,0.0226071136,0.439875215,10.0390276,7.6531024,6.81281678,True,14,0.858631348,0.858631348,2.14964713e-11,1.50810776,1.40410054,0.439875215,8.16831559,9.77732504,60,22.3678339,14.7862087,-56.3741606,1.51274978,1440.40987,False,False
951869321,HVA,VISal,evaluation,point,0.00561766771,0.00833400016,1.40968854,1.51641035,1529.81481,0.0274306485,0.43964668,10.0598807,7.66887913,6.82644826,True,17,0.858601242,0.858601242,1.5357049e-11,1.50807635,1.40407087,0.43964668,8.18506936,9.76019467,60,22.9286331,15.6139511,-56.358011,1.46847091,1559.18019,False,False
951869556,HVA,VISal,calibration,aperture,-0.00154974677,0.000305352259,1.55729913,1.65542738,49.9391733,1.23418824,1.26734217,13.7782075,10.8645115,4.54611885,True,226,1.16774399,1.16774459,5.94533102e-07,1.65512203,1.55884888,1.26734217,9.72961262,39.6202469,57.2129577,13.4875698,2,22.3660932,6.7437849,117.481378,True,False
951869556,HVA,VISal,calibration,point,4.43380327e-06,8.53751078e-06,1.55735316,1.65543779,85.9672325,-0.0208479312,1.26991702,8.09510578,5.56317017,2.34330144,True,7,1.16791502,1.16791503,1.22693895e-08,1.65542925,1.55734873,1.26991702,5.33385913,19.1770637,45.2755022,6.60345058,2.94632623,0.497302121,2.24124895,84.73388,False,False
951869579,HVA,VISal,evaluation,aperture,-0.00740003384,0.000693448975,0.388920519,0.345510338,488.479312,-0.666110861,0.0237172592,1.92121275,0.743941156,0.0491051402,True,12,0.0870802197,0.0870802197,1.02373665e-12,0.344816889,0.396320553,0.0237172592,0.904753016,7.89677712,53.0658999,16.1129896,4.3867751,-60.0243456,3.67308312,307.841258,False,False
951869579,HVA,VISal,evaluation,point,-0.0111565018,-0.000567457658,0.389038923,0.345466598,644.885682,-0.837906556,0.0247365348,1.69908601,0.639275318,0.048980116,True,21,0.0868914875,0.0868914876,9.82234988e-11,0.346034056,0.400195425,0.0247365348,0.795780481,10.0015784,45.9859869,14.3797411,5.76091319,-57.0592385,2.4960871,360.784381,False,False
951869592,HVA,VISal,evaluation,aperture,-5.00218256e-07,1.22857187e-06,0.476160229,0.378716822,17.4206887,1.85749949e-09,0.028754308,0.277028136,0.350872286,0.103567384,True,9,0.0887517805,0.0887517805,2.43195741e-12,0.378715593,0.476160729,0.028754308,0.243822602,22.6286689,39.0453615,2,2,73.9460036,1,17.4206887,True,False
951869592,HVA,VISal,evaluation,point,-0.0124451677,0.00322986536,0.473914835,0.380044581,48.5611583,-0.442906601,0.0291958526,3.17393683,3.28497518,0.983959473,True,16,0.0885825352,0.08858256,2.47791646e-08,0.376814716,0.486360003,0.0291958526,2.48095716,24.1770712,36.936377,3.55336727,2.30842324,58.6458971,1.53930493,35.7240645,False,False
951869676,HVA,VISal,evaluation,aperture,0.0019474857,0.00109463972,0.773846895,0.732976572,1257.349,-0.302885759,0.0722666279,0.200867043,0.16842292,0.183054094,True,26,0.220736699,0.220736699,7.84166732e-10,0.731881932,0.771899409,0.0722666279,0.184114686,-18.4647391,9.0500963,24.4611103,9.56745983,14.0891312,2.55669851,1019.24395,False,False
951869676,HVA,VISal,evaluation,point,0.0019253872,0.00105975809,0.773816535,0.732985577,1420.53211,-0.258491566,0.0720961066,0.201329182,0.168492428,0.183288955,True,25,0.22074187,0.22074187,3.73538034e-10,0.731925819,0.771891148,0.0720961066,0.184370189,-18.4287546,9.01740192,24.968461,10.9204425,14.0767446,2.28639645,1187.51018,False,False
