stimulus_presentation_id,stimulus_block,start_time,stop_time,phase,x_position,frame,size,temporal_frequency,color,spatial_frequency,stimulus_name,y_position,contrast,orientation,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1779,0.0,529.49126,529.74146,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25020046,60,,,0,,False,5,test,1
1780,0.0,529.74146,529.99166,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25020046,128,,,0,,False,7,train,2
1781,0.0,529.99166,530.24188,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25021454,97,,,0,,False,5,test,1
1782,0.0,530.24188,530.49209,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25021454,22,,,0,,False,10,train,1
1783,0.0,530.49209,530.7423,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,90.0,0.25021454,183,,,0,,False,9,train,2
1784,0.0,530.7423,530.99252,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25021454,224,,,0,,False,9,train,0
1785,0.0,530.99252,531.24273,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,90.0,0.25020796,234,,,0,,False,5,test,2
1786,0.0,531.24273,531.49293,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25020796,214,,,0,,False,5,test,1
1787,0.0,531.49293,531.74314,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25020796,50,,,0,,False,12,train,2
1788,0.0,531.74314,531.99335,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,0.0,0.25020796,230,,,0,,False,7,train,0
1789,0.0,531.99335,532.24356,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25021204,239,,,0,,False,3,train,1
1790,0.0,532.24356,532.49377,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25021204,224,,,0,,False,10,train,0
1791,0.0,532.49377,532.74399,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25021204,224,,,0,,False,11,test,0
1792,0.0,532.74399,532.9942,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,45.0,0.25021204,23,,,0,,False,7,train,1
1793,0.0,532.9942,533.2444,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,0.0,0.25020296,129,,,0,,False,7,train,0
1794,0.0,533.2444,533.4946,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25020296,235,,,0,,False,5,test,2
1795,0.0,533.4946,533.74481,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,45.0,0.25020296,222,,,0,,False,8,test,1
1796,0.0,533.74481,533.99501,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,0.0,0.25020296,49,,,0,,False,10,train,0
1797,0.0,533.99501,534.24522,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,0.0,0.25020954,196,,,0,,False,7,train,0
1798,0.0,534.24522,534.49543,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25020954,130,,,0,,False,6,train,0
1799,0.0,534.49543,534.74564,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,90.0,0.25020954,226,,,0,,False,5,test,2
1800,0.0,534.74564,534.99585,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,90.0,0.25020954,237,,,0,,False,8,test,2
1801,0.0,534.99585,535.24606,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,0.0,0.25020796,61,,,0,,False,7,train,0
1802,0.0,535.24606,535.49626,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,0.0,0.25020796,81,,,0,,False,8,test,0
1803,0.0,535.49626,535.74647,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,0.0,0.25020796,69,,,0,,False,10,train,0
1804,0.0,535.74647,535.99668,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,0.0,0.25020796,72,,,0,,False,7,train,0
1805,0.0,535.99668,536.2469,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,90.0,0.25022204,27,,,0,,False,8,test,2
1806,0.0,536.2469,536.49712,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,90.0,0.25022204,14,,,0,,False,6,train,2
1807,0.0,536.49712,536.74735,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25022204,62,,,0,,False,4,train,1
1808,0.0,536.74735,536.99757,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,0.0,0.25022204,215,,,0,,False,6,train,0
1809,0.0,536.99757,537.24777,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-10.0,0.8,45.0,0.25019796,44,,,0,,False,6,train,1
1810,0.0,537.24777,537.49796,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,90.0,0.25019796,150,,,0,,False,5,test,2
1811,0.0,537.49796,537.74816,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,45.0,0.25019796,68,,,0,,False,5,test,1
1812,0.0,537.74816,537.99836,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,45.0,0.25019796,171,,,0,,False,6,train,1
1813,0.0,537.99836,538.24858,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,30.0,0.8,0.0,0.25021454,100,,,0,,False,5,test,0
1814,0.0,538.24858,538.49879,"[3644.93333333, 3644.93333333]",-20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25021454,76,,,0,,False,7,train,1
1815,0.0,538.49879,538.749,"[3644.93333333, 3644.93333333]",-40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,0.0,0.25021454,140,,,0,,False,10,train,0
1816,0.0,538.749,538.99922,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,0.0,0.8,45.0,0.25021454,154,,,0,,False,7,train,1
1817,0.0,538.99922,539.24942,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,45.0,0.25020296,137,,,0,,False,10,train,1
1818,0.0,539.24942,539.49962,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,45.0,0.25020296,164,,,0,,False,7,train,1
1819,0.0,539.49962,539.74983,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-30.0,0.8,90.0,0.25020296,6,,,0,,False,10,train,2
1820,0.0,539.74983,540.00003,"[3644.93333333, 3644.93333333]",0.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-20.0,0.8,0.0,0.25020296,206,,,0,,False,9,train,0
1821,0.0,540.00003,540.25025,"[3644.93333333, 3644.93333333]",30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25021454,75,,,0,,False,6,train,0
1822,0.0,540.25025,540.50046,"[3644.93333333, 3644.93333333]",40.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,40.0,0.8,45.0,0.25021454,9,,,0,,False,9,train,1
1823,0.0,540.50046,540.75067,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,0.0,0.25021454,209,,,0,,False,7,train,0
1824,0.0,540.75067,541.00089,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,20.0,0.8,45.0,0.25021454,126,,,0,,False,8,test,1
1825,0.0,541.00089,541.25109,"[3644.93333333, 3644.93333333]",10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,45.0,0.25020296,68,,,0,,False,6,train,1
1826,0.0,541.25109,541.50129,"[3644.93333333, 3644.93333333]",-10.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,-40.0,0.8,45.0,0.25020296,67,,,0,,False,7,train,1
1827,0.0,541.50129,541.7515,"[3644.93333333, 3644.93333333]",-30.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25020296,124,,,0,,False,8,test,1
1828,0.0,541.7515,542.0017,"[3644.93333333, 3644.93333333]",20.0,null,"[20.0, 20.0]",4.0,null,0.08,gabors,10.0,0.8,45.0,0.25020296,38,,,0,,False,8,test,1
