outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions
log10_f1_f0,rf_interaction_common_support,relative_azimuth_deg,0.003618241125153656,0.0005060394886992225,8.670449951891108e-13,0.002626421952548116,0.004610060297759196,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]:relative_azimuth_deg",-0.0019569082931935222,0.0010653474222834204,0.06622859369320555,-0.00404495087189161,0.00013113428550456593,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.RL]:relative_azimuth_deg",-0.001738575943157105,0.0011291111868454318,0.1236154744316741,-0.003951593203915427,0.00047444131760121695,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AL]:relative_azimuth_deg",-0.0038889526800697793,0.0008606962644501482,6.2314610418097525e-06,-0.005575886360020232,-0.002202019000119327,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.PM]:relative_azimuth_deg",-0.004114058391823805,0.0008096975962109536,3.75489970767589e-07,-0.005701036518765929,-0.00252708026488168,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AM]:relative_azimuth_deg",-0.0026068465138379634,0.0006757334048880398,0.00011441069356053275,-0.003931259650569143,-0.0012824333771067832,9819,54
log10_f1_f0,rf_interaction_common_support,relative_elevation_deg,-0.0010959994003893435,0.0007480723418984347,0.14289414273006287,-0.002562194248340809,0.00037019544756212216,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]:relative_elevation_deg",-0.00033682253023090516,0.0011889271265862296,0.7769472155777701,-0.002667076878582609,0.0019934318181207985,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.RL]:relative_elevation_deg",0.003130074251287598,0.0010961402125074624,0.004296346013688881,0.0009816789127668904,0.0052784695898083055,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AL]:relative_elevation_deg",0.0007290106891712088,0.001199581707621042,0.5433727017087788,-0.0016221262542790906,0.0030801476326215082,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.PM]:relative_elevation_deg",0.0027817235916166683,0.0011800622588978384,0.01840993013396482,0.00046884406466192376,0.005094603118571413,9819,54
log10_f1_f0,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AM]:relative_elevation_deg",0.0025353627182405484,0.001062962577197397,0.017070520383583795,0.0004519943500197734,0.004618731086461323,9819,54
log10_f1_f0,rf_interaction_common_support,rf_area_z,-0.07429849531783206,0.003150198897818836,5.450755795694155e-123,-0.08047277170169476,-0.06812421893396936,9819,54
timescale_ms,unadjusted_full,Intercept,48.36889882767625,0.8001014645504694,0.0,46.80072877317958,49.937068882172916,6821,54
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.LM]",-0.27005157943820635,1.185927909458736,0.8198691179831263,-2.594427570238207,2.0543244113617942,6821,54
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.RL]",4.834156341864398,1.289280932710686,0.0001771888752208077,2.307212147797245,7.361100535931552,6821,54
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AL]",0.3337605432755744,1.1731706514047746,0.7760314840189569,-1.9656116811971784,2.6331327677483274,6821,54
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.PM]",7.594182771033793,1.402974851125319,6.200713792712856e-08,4.844402591612724,10.343962950454863,6821,54
timescale_ms,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AM]",7.291924971216483,1.2757583261690226,1.0921652266784022e-08,4.791484598948095,9.792365343484871,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.719161530],-13.595647714851658,0.5167779744549106,1.5334372555454328e-152,-14.608513932786844,-12.582781496916473,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.721123822],-6.04701601317735,0.45221276624741824,8.806817742621527e-41,-6.93333674837152,-5.16069527798318,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.732592105],-8.92069436417745,0.4172444667311338,2.0504876572227784e-101,-9.738478491719093,-8.102910236635807,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.737581020],-11.546647951034307,0.07299133223020718,0.0,-11.689708333389111,-11.403587568679503,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.739448407],-3.532275438367606,0.5141307078608902,6.4029268809760446e-12,-4.539953109121035,-2.524597767614177,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.742951821],-3.3517994459006446,0.37756465568417685,6.842996490860585e-19,-4.091812572876897,-2.6117863189243917,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.744228101],-7.41760284577334,0.4114023942479563,1.1320366505739747e-72,-8.223936721652883,-6.611268969893797,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.746083955],-4.7674507034632185,0.4341313502713444,4.686238791560758e-28,-5.618332514554797,-3.9165688923716404,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.750332458],-0.37174180353183406,0.3664027807335624,0.31031015047482224,-1.0898780576049427,0.3463944505412747,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.750749662],0.1294543970130948,0.4055447144488714,0.7495663980651528,-0.6653986374272737,0.9243074314534633,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.751348571],-5.758296830388625,0.0970200961804079,0.0,-5.948452724678837,-5.5681409360984135,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.754312389],-5.741160179956549,0.49635505896392956,6.08181726707787e-31,-6.713998219070106,-4.768322140842992,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.754829445],-4.627659890838805,0.36699575836797454,1.8700288179273767e-36,-5.346958359718999,-3.9083614219586105,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.755434585],-6.975746174189964,0.4953890636626676,4.945678325627707e-45,-7.946690897303812,-6.004801451076116,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.756029989],-2.757840258051386,0.4429599259816343,4.786887108363657e-10,-3.6260257595699175,-1.8896547565328545,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.757216464],-2.952944140804452,0.509788211189283,6.934962566639964e-09,-3.9521106744785457,-1.9537776071303585,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.757970808],-4.34197681380496,0.4342720621423068,1.5505557491836208e-23,-5.193134415095821,-3.4908192125140984,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.758798717],-8.31702709964874,0.7060620108332217,4.981292578375359e-32,-9.700883211733785,-6.933170987563696,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.759883607],-7.606078804719534,0.5923059516115214,9.603410414320437e-38,-8.76697713770684,-6.445180471732228,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.760345702],-3.27486296790704,0.5517263247739858,2.9265575381965553e-09,-4.356226693786701,-2.1934992420273787,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.760693773],-8.314249375705247,0.49110680063017204,2.721513153150875e-64,-9.276801017503077,-7.351697733907416,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.761418226],-4.7666395365990955,0.4573371985813425,1.9554763001954716e-25,-5.663003974608969,-3.8702750985892216,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.762120172],-7.085802775505328,0.5803718858649954,2.780386266938299e-34,-8.22331076944031,-5.948294781570346,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.762602078],-9.54362398247262,0.35910611755008526,1.2841834294338853e-155,-10.247459039498795,-8.839788925446447,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.763673393],-6.022561402685344,0.39083713176965296,1.415437651562722e-53,-6.788588104774799,-5.256534700595889,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.766640955],-11.171444458352674,0.47218892252146777,9.571353897701425e-124,-12.096917740393526,-10.245971176311823,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.767871931],-2.4428580691072197,0.4014684470287466,1.166316238181815e-09,-3.2297217662127897,-1.65599437200165,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.768515987],-8.381535373327196,0.42502779606227037,1.4531475040478233e-86,-9.214574546037682,-7.548496200616711,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.771160300],-4.074538227476678,0.5481082253972405,1.0550502474037364e-13,-5.148810608885432,-3.0002658460679243,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.771990200],-6.039645497875408,0.30448044123601575,1.458638318794423e-87,-6.636416196694863,-5.442874799055953,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.773418906],-3.2218089602989295,0.6420732553847768,5.226070932690244e-07,-4.48024941628948,-1.9633685043083786,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.774875821],-6.344738641424435,0.49207919930843086,4.882104369339325e-38,-7.309196149610266,-5.380281133238603,6821,54
timescale_ms,unadjusted_full,C(session_id)[T.778240327],-10.982236246544291,0.4834401395711076,3.0534700969551826e-114,-11.92976150878468,-10.034710984303903,6821,54
