outcome,model,term,estimate,cluster_se,p_value,ci_low,ci_high,n_units,n_sessions,area
ttfs_ms,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AM]",8.33738372098602,0.8299795064111447,9.636512916989769e-24,6.710653780513846,9.964113661458194,5814,54,AM
log10_mod_idx,unadjusted_full,"C(area, Treatment(reference='V1'))[T.LM]",-0.23331820517395674,0.02182495095375958,1.1284128706207011e-26,-0.2760943230076786,-0.19054208734023487,19603,54,LM
log10_mod_idx,unadjusted_full,"C(area, Treatment(reference='V1'))[T.RL]",-0.2567842014800958,0.021702423281292852,2.665447999142617e-32,-0.29932016948867335,-0.21424823347151822,19603,54,RL
log10_mod_idx,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AL]",-0.294657819714044,0.01837873133393327,7.571837181531783e-58,-0.33067947121009095,-0.258636168217997,19603,54,AL
log10_mod_idx,unadjusted_full,"C(area, Treatment(reference='V1'))[T.PM]",-0.3451585926178804,0.022078316720272734,4.313422806267606e-55,-0.38843129822888345,-0.30188588700687735,19603,54,PM
log10_mod_idx,unadjusted_full,"C(area, Treatment(reference='V1'))[T.AM]",-0.36119401330303696,0.021183091806051362,3.432948052332518e-65,-0.40271211032410315,-0.3196759162819708,19603,54,AM
log10_mod_idx,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-0.25099327739053195,0.024589354276010555,1.8372937569891287e-24,-0.29918752617460864,-0.2027990286064553,9819,54,LM
log10_mod_idx,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.30575848886811735,0.029615088040395903,5.465035128615818e-25,-0.3638029948262762,-0.2477139829099585,9819,54,RL
log10_mod_idx,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.30478030113718635,0.02544024843539981,4.510120000725086e-33,-0.3546422718283214,-0.2549183304460513,9819,54,AL
log10_mod_idx,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.3355198905239063,0.03643895970523833,3.331123517569226e-20,-0.4069389391802797,-0.2641008418675329,9819,54,PM
log10_mod_idx,unadjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.39002433560357885,0.023822969457928132,3.042023585748377e-60,-0.4367164977459157,-0.343332173461242,9819,54,AM
log10_mod_idx,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-0.22769193539031604,0.026876536183748915,2.4168409061554337e-17,-0.2803689783396515,-0.17501489244098056,9819,54,LM
log10_mod_idx,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.2957113015881847,0.029694263934606367,2.3145311098935482e-23,-0.3539109894474398,-0.2375116137289296,9819,54,RL
log10_mod_idx,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.2611315837313501,0.03101536725378655,3.783339356465839e-17,-0.3219205865160547,-0.20034258094664548,9819,54,AL
log10_mod_idx,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.30342596266431143,0.039669681659264676,2.028435253564881e-14,-0.38117710999463933,-0.22567481533398354,9819,54,PM
log10_mod_idx,rf_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.35202256096967804,0.025961955937050942,6.99232898790225e-42,-0.4029070595745137,-0.30113806236484236,9819,54,AM
log10_mod_idx,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-0.21910037052672363,0.02800426083128887,5.124298096899863e-15,-0.27398771316971554,-0.1642130278837317,9819,54,LM
log10_mod_idx,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.31263508947504315,0.028874056269091574,2.5490296497270883e-27,-0.3692271998500456,-0.2560429791000407,9819,54,RL
log10_mod_idx,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.26225139567872807,0.030756359865223157,1.505334151599047e-17,-0.32253275331011866,-0.20197003804733749,9819,54,AL
log10_mod_idx,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.3068705003741907,0.03798825209066464,6.581771810665607e-16,-0.38132610630752184,-0.2324148944408596,9819,54,PM
log10_mod_idx,rf_depth_adjusted_common_support,"C(area, Treatment(reference='V1'))[T.AM]",-0.350515528224412,0.025478688927887568,4.610123337400086e-43,-0.40045284089637107,-0.30057821555245295,9819,54,AM
log10_mod_idx,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.LM]",-0.24702809242952473,0.023967375454807493,6.561829761857705e-25,-0.2940032851248967,-0.20005289973415274,9819,54,LM
log10_mod_idx,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.RL]",-0.30455698317680246,0.036023587356011355,2.805817394507873e-17,-0.3751619169885172,-0.23395204936508773,9819,54,RL
log10_mod_idx,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.AL]",-0.26800137796020307,0.02753152439966898,2.151979668339695e-22,-0.32196217422304,-0.21404058169736614,9819,54,AL
log10_mod_idx,rf_interaction_common_support,"C(area, Treatment(reference='V1'))[T.PM]",-0.2974896947696726,0.03968625881799293,6.57758482330577e-14,-0.3752733327340739,-0.21970605680527128,9819,54,PM
