stimulus_presentation_id,stimulus_block,start_time,stop_time,Speed,color,contrast,orientation,frame,coherence,phase,y_position,spatial_frequency,size,Dir,x_position,stimulus_name,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1839,0.0,535.24337,535.49358,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25021243,169,,,0,,False,6,train,0
1840,0.0,535.49358,535.74379,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25021243,13,,,0,,False,5,test,1
1841,0.0,535.74379,535.994,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020757,82,,,0,,False,7,train,1
1842,0.0,535.994,536.24421,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,-30.0,gabors,4.0,0.25020757,209,,,0,,False,9,train,1
1843,0.0,536.24421,536.49441,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-20.0,0.08,"[20.0, 20.0]",null,-20.0,gabors,4.0,0.25020757,21,,,0,,False,6,train,1
1844,0.0,536.49441,536.74462,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,10.0,gabors,4.0,0.25020757,20,,,0,,False,7,train,1
1845,0.0,536.74462,536.99484,null,null,0.8,90.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25021743,119,,,0,,False,6,train,2
1846,0.0,536.99484,537.24506,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",20.0,0.08,"[20.0, 20.0]",null,0.0,gabors,4.0,0.25021743,136,,,0,,False,5,test,1
1847,0.0,537.24506,537.49527,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25021743,102,,,0,,False,9,train,0
1848,0.0,537.49527,537.74549,null,null,0.8,45.0,null,null,"[3644.93333333, 3644.93333333]",-40.0,0.08,"[20.0, 20.0]",null,40.0,gabors,4.0,0.25021743,59,,,0,,False,5,test,1
1849,0.0,537.74549,537.99569,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",30.0,0.08,"[20.0, 20.0]",null,30.0,gabors,4.0,0.25020007,19,,,0,,False,8,test,0
1850,0.0,537.99569,538.24589,null,null,0.8,0.0,null,null,"[3644.93333333, 3644.93333333]",0.0,0.08,"[20.0, 20.0]",null,-10.0,gabors,4.0,0.25020007,183,,,0,,False,8,test,0
